name	mana_cost	mv	colors	type	subtypes	power	toughness	printings	elo	edh	text
Mortivore	{2}{B}{B}	4	B	Creature — Lhurgoyf	Lhurgoyf	*	*	10E, 9ED, CM2, CMD, DPA, M3C, ODY, PS11	1292	5021	Mortivore's power and toughness are each equal to the number of creature cards in all graveyards. / {B}: Regenerate this creature. (The next time this creature would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)
Painbringer	{2}{B}{B}	4	B	Creature — Human Minion	Human, Minion	1	1	ODY	1167	28799	{T}, Exile any number of cards from your graveyard: Target creature gets -X/-X until end of turn, where X is the number of cards exiled this way.
Painbringer	{2}{B}{B}	4	B	Creature — Human Minion	Human, Minion	1	1	ODY	1167	28799	{T}, Exile any number of cards from your graveyard: Target creature gets -X/-X until end of turn, where X is the number of cards exiled this way.
Carrion Wurm	{3}{B}{B}	5	B	Creature — Zombie Wurm	Zombie, Wurm	6	5	TOR	1161	29294	Whenever this creature attacks or blocks, any player may exile three cards from their graveyard. If a player does, this creature assigns no combat damage this turn.
Carrion Wurm	{3}{B}{B}	5	B	Creature — Zombie Wurm	Zombie, Wurm	6	5	TOR	1161	29294	Whenever this creature attacks or blocks, any player may exile three cards from their graveyard. If a player does, this creature assigns no combat damage this turn.
Masked Gorgon	{4}{B}	5	B	Creature — Gorgon	Gorgon	5	5	JUD	1167	28546	Green creatures and white creatures have protection from Gorgons. / Threshold — This creature has protection from green and from white as long as there are seven or more cards in your graveyard.
Repentant Vampire	{3}{B}{B}	5	B	Creature — Vampire	Vampire	3	3	ODY	1196	28622	Flying / Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature. / Threshold — As long as there are seven or more cards in your graveyard, this creature is white and has "{T}: Destroy target black creature."
Treacherous Vampire	{4}{B}	5	B	Creature — Vampire	Vampire	4	4	JUD	1133	30936	Flying / Whenever this creature attacks or blocks, sacrifice it unless you exile a card from your graveyard. / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature dies, you lose 6 life."
Treacherous Vampire	{4}{B}	5	B	Creature — Vampire	Vampire	4	4	JUD	1133	30936	Flying / Whenever this creature attacks or blocks, sacrifice it unless you exile a card from your graveyard. / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature dies, you lose 6 life."
Cabal Patriarch	{3}{B}{B}{B}	6	B	Legendary Creature — Human Wizard	Human, Wizard	5	5	CMM, ODY	1158	25944	{2}{B}, Sacrifice a creature: Target creature gets -2/-2 until end of turn. / {2}{B}, Exile a creature card from your graveyard: Target creature gets -2/-2 until end of turn.
Laquatus's Champion	{4}{B}{B}	6	B	Creature — Nightmare Horror	Nightmare, Horror	6	3	A25, PRM, PTOR, TOR, VMA	1217	25063	When this creature enters, target player loses 6 life. / When this creature leaves the battlefield, that player gains 6 life. / {B}: Regenerate this creature.
Sutured Ghoul	{4}{B}{B}{B}	7	B	Creature — Zombie	Zombie	*	*	JUD, M12	1181	25639	Trample / As this creature enters, exile any number of creature cards from your graveyard. / Sutured Ghoul's power is equal to the total power of the exiled cards and its toughness is equal to their total toughness.
Vampiric Dragon	{6}{B}{R}	8	B, R	Creature — Vampire Dragon	Vampire, Dragon	5	5	ARC, ODY, PS11, TD0, VOC	1099	19092	Flying / Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature. / {1}{R}: This creature deals 1 damage to target creature.
Basking Rootwalla	{G}	1	G	Creature — Lizard	Lizard	1	1	DDD, F07, GVL, MB2, PLST, PRM, TOR, UMA, VMA, WC03	1265	15814	{1}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn. / Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
Basking Rootwalla	{G}	1	G	Creature — Lizard	Lizard	1	1	DDD, F07, GVL, MB2, PLST, PRM, TOR, UMA, VMA, WC03	1265	15814	{1}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn. / Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
Basking Rootwalla	{G}	1	G	Creature — Lizard	Lizard	1	1	DDD, F07, GVL, MB2, PLST, PRM, TOR, UMA, VMA, WC03	1265	15814	{1}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn. / Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
Diligent Farmhand	{G}	1	G	Creature — Human Druid	Human, Druid	1	1	ODY, PLST	1285	11503	{1}{G}, Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. / If this card is in a graveyard, effects from spells named Muscle Burst count it as a card named Muscle Burst.
Diligent Farmhand	{G}	1	G	Creature — Human Druid	Human, Druid	1	1	ODY, PLST	1285	11503	{1}{G}, Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. / If this card is in a graveyard, effects from spells named Muscle Burst count it as a card named Muscle Burst.
Diligent Farmhand	{G}	1	G	Creature — Human Druid	Human, Druid	1	1	ODY, PLST	1285	11503	{1}{G}, Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. / If this card is in a graveyard, effects from spells named Muscle Burst count it as a card named Muscle Burst.
Nantuko Tracer	{1}{G}	2	G	Creature — Insect Druid	Insect, Druid	2	1	JUD	1122	26086	When this creature enters, you may put target card from a graveyard on the bottom of its owner's library.
Nantuko Tracer	{1}{G}	2	G	Creature — Insect Druid	Insect, Druid	2	1	JUD	1122	26086	When this creature enters, you may put target card from a graveyard on the bottom of its owner's library.
Nantuko Tracer	{1}{G}	2	G	Creature — Insect Druid	Insect, Druid	2	1	JUD	1122	26086	When this creature enters, you may put target card from a graveyard on the bottom of its owner's library.
Seton's Scout	{1}{G}	2	G	Creature — Centaur Druid Scout Archer	Centaur, Druid, Scout, Archer	2	1	PLST, TOR, WC02	1149	28567	Reach (This creature can block creatures with flying.) / Threshold — This creature gets +2/+2 as long as there are seven or more cards in your graveyard.
Seton's Scout	{1}{G}	2	G	Creature — Centaur Druid Scout Archer	Centaur, Druid, Scout, Archer	2	1	PLST, TOR, WC02	1149	28567	Reach (This creature can block creatures with flying.) / Threshold — This creature gets +2/+2 as long as there are seven or more cards in your graveyard.
Werebear	{1}{G}	2	G	Creature — Human Bear Druid	Human, Bear, Druid	1	1	DMR, EMA, ODY, PLST, TD0, WC02	1376	7921	{T}: Add {G}. / Threshold — This creature gets +3/+3 as long as there are seven or more cards in your graveyard.
Werebear	{1}{G}	2	G	Creature — Human Bear Druid	Human, Bear, Druid	1	1	DMR, EMA, ODY, PLST, TD0, WC02	1376	7921	{T}: Add {G}. / Threshold — This creature gets +3/+3 as long as there are seven or more cards in your graveyard.
Werebear	{1}{G}	2	G	Creature — Human Bear Druid	Human, Bear, Druid	1	1	DMR, EMA, ODY, PLST, TD0, WC02	1376	7921	{T}: Add {G}. / Threshold — This creature gets +3/+3 as long as there are seven or more cards in your graveyard.
Wild Mongrel	{1}{G}	2	G	Creature — Dog	Dog	2	2	DDD, F06, GVL, ODY, PLST, PRM, SLC, TD0, UMA, VMA, WC02, WC03	1331	14061	Discard a card: This creature gets +1/+1 and becomes the color of your choice until end of turn.
Wild Mongrel	{1}{G}	2	G	Creature — Dog	Dog	2	2	DDD, F06, GVL, ODY, PLST, PRM, SLC, TD0, UMA, VMA, WC02, WC03	1331	14061	Discard a card: This creature gets +1/+1 and becomes the color of your choice until end of turn.
Wild Mongrel	{1}{G}	2	G	Creature — Dog	Dog	2	2	DDD, F06, GVL, ODY, PLST, PRM, SLC, TD0, UMA, VMA, WC02, WC03	1331	14061	Discard a card: This creature gets +1/+1 and becomes the color of your choice until end of turn.
Anurid Swarmsnapper	{2}{G}	3	G	Creature — Frog Beast	Frog, Beast	1	4	JUD	1102	21444	Reach (This creature can block creatures with flying.) / {1}{G}: This creature can block an additional creature this turn.
Anurid Swarmsnapper	{2}{G}	3	G	Creature — Frog Beast	Frog, Beast	1	4	JUD	1102	21444	Reach (This creature can block creatures with flying.) / {1}{G}: This creature can block an additional creature this turn.
Cartographer	{2}{G}	3	G	Creature — Human	Human	2	2	EXO, ODY	1214	24839	When this creature enters, you may return target land card from your graveyard to your hand.
Cartographer	{2}{G}	3	G	Creature — Human	Human	2	2	EXO, ODY	1214	24839	When this creature enters, you may return target land card from your graveyard to your hand.
Cartographer	{2}{G}	3	G	Creature — Human	Human	2	2	EXO, ODY	1214	24839	When this creature enters, you may return target land card from your graveyard to your hand.
Chlorophant	{G}{G}{G}	3	G	Creature — Elemental	Elemental	1	1	ODY	1187	26905	At the beginning of your upkeep, you may put a +1/+1 counter on this creature. / Threshold — As long as there are seven or more cards in your graveyard, this creature has "At the beginning of your upkeep, you may put another +1/+1 counter on this creature."
Krosan Avenger	{2}{G}	3	G	Creature — Human Druid	Human, Druid	3	1	ODY	1087	30505	Trample / Threshold — {1}{G}: Regenerate this creature. Activate only if there are seven or more cards in your graveyard.
Krosan Avenger	{2}{G}	3	G	Creature — Human Druid	Human, Druid	3	1	ODY	1087	30505	Trample / Threshold — {1}{G}: Regenerate this creature. Activate only if there are seven or more cards in your graveyard.
Krosan Avenger	{2}{G}	3	G	Creature — Human Druid	Human, Druid	3	1	ODY	1087	30505	Trample / Threshold — {1}{G}: Regenerate this creature. Activate only if there are seven or more cards in your graveyard.
Squirrel Mob	{1}{G}{G}	3	G	Creature — Squirrel	Squirrel	2	2	BLC, J21, MH2, ODY, PLST, SLD	1212	5996	This creature gets +1/+1 for each other Squirrel on the battlefield.
Centaur Chieftain	{3}{G}	4	G	Creature — Centaur	Centaur	3	3	EMA, TOR	1193	27409	Haste / Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature enters, creatures you control get +1/+1 and gain trample until end of turn."
Centaur Chieftain	{3}{G}	4	G	Creature — Centaur	Centaur	3	3	EMA, TOR	1193	27409	Haste / Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature enters, creatures you control get +1/+1 and gain trample until end of turn."
Nantuko Calmer	{2}{G}{G}	4	G	Creature — Insect Druid	Insect, Druid	2	3	TOR	1117	27388	{G}, {T}, Sacrifice this creature: Destroy target enchantment. / Threshold — This creature gets +1/+1 as long as there are seven or more cards in your graveyard.
Nantuko Calmer	{2}{G}{G}	4	G	Creature — Insect Druid	Insect, Druid	2	3	TOR	1117	27388	{G}, {T}, Sacrifice this creature: Destroy target enchantment. / Threshold — This creature gets +1/+1 as long as there are seven or more cards in your graveyard.
Nantuko Calmer	{2}{G}{G}	4	G	Creature — Insect Druid	Insect, Druid	2	3	TOR	1117	27388	{G}, {T}, Sacrifice this creature: Destroy target enchantment. / Threshold — This creature gets +1/+1 as long as there are seven or more cards in your graveyard.
Nantuko Cultivator	{3}{G}	4	G	Creature — Insect Druid	Insect, Druid	2	2	J21, J22, MH1, OTC, TOR	1209	12932	When this creature enters, you may discard any number of land cards. Put that many +1/+1 counters on this creature and draw that many cards.
Possessed Centaur	{2}{G}{G}	4	G	Creature — Centaur Horror	Centaur, Horror	3	3	TOR	1184	30678	Trample / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1, is black, and has "{2}{B}, {T}: Destroy target green creature."
Zoologist	{3}{G}	4	G	Creature — Human Druid	Human, Druid	1	2	ODY	1190	24085	{3}{G}, {T}: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard.
Arrogant Wurm	{3}{G}{G}	5	G	Creature — Wurm	Wurm	4	4	F06, PLST, PRM, TOR, VMA, WC03	1252	23913	Trample / Madness {2}{G} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
Arrogant Wurm	{3}{G}{G}	5	G	Creature — Wurm	Wurm	4	4	F06, PLST, PRM, TOR, VMA, WC03	1252	23913	Trample / Madness {2}{G} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
Gorilla Titan	{3}{G}{G}	5	G	Creature — Ape	Ape	4	4	ODY	1200	20616	Trample / This creature gets +4/+4 as long as there are no cards in your graveyard.
Gorilla Titan	{3}{G}{G}	5	G	Creature — Ape	Ape	4	4	ODY	1200	20616	Trample / This creature gets +4/+4 as long as there are no cards in your graveyard.
Rabid Elephant	{4}{G}	5	G	Creature — Elephant	Elephant	3	4	ODY	1174	28202	Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it.
Rabid Elephant	{4}{G}	5	G	Creature — Elephant	Elephant	3	4	ODY	1174	28202	Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it.
Rabid Elephant	{4}{G}	5	G	Creature — Elephant	Elephant	3	4	ODY	1174	28202	Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it.
Giant Warthog	{5}{G}	6	G	Creature — Boar Beast	Boar, Beast	5	5	JUD	1087	28613	Trample
Giant Warthog	{5}{G}	6	G	Creature — Boar Beast	Boar, Beast	5	5	JUD	1087	28613	Trample
Giant Warthog	{5}{G}	6	G	Creature — Boar Beast	Boar, Beast	5	5	JUD	1087	28613	Trample
Nut Collector	{5}{G}	6	G	Creature — Human Druid	Human, Druid	1	1	DMR, ODY, PLST	1228	7910	At the beginning of your upkeep, you may create a 1/1 green Squirrel creature token. / Threshold — All Squirrels get +2/+2 as long as there are seven or more cards in your graveyard.
Thriss, Nantuko Primus	{5}{G}{G}	7	G	Legendary Creature — Insect Druid	Insect, Druid	5	5	JUD	1188	24026	{G}, {T}: Target creature gets +5/+5 until end of turn.
Grim Lavamancer	{R}	1	R	Creature — Human Wizard	Human, Wizard	1	1	2XM, DMR, E01, G06, JMP, M12, PD2, PRM, TOR	1334	14995	{R}, {T}, Exile two cards from your graveyard: This creature deals 2 damage to any target.
Spark Mage	{R}	1	R	Creature — Dwarf Wizard	Dwarf, Wizard	1	1	ODY	1154	10190	Whenever this creature deals combat damage to a player, you may have this creature deal 1 damage to target creature that player controls.
Spark Mage	{R}	1	R	Creature — Dwarf Wizard	Dwarf, Wizard	1	1	ODY	1154	10190	Whenever this creature deals combat damage to a player, you may have this creature deal 1 damage to target creature that player controls.
Barbarian Outcast	{1}{R}	2	R	Creature — Human Barbarian Beast	Human, Barbarian, Beast	2	2	TOR	1121	30118	When you control no Swamps, sacrifice this creature.
Barbarian Outcast	{1}{R}	2	R	Creature — Human Barbarian Beast	Human, Barbarian, Beast	2	2	TOR	1121	30118	When you control no Swamps, sacrifice this creature.
Barbarian Outcast	{1}{R}	2	R	Creature — Human Barbarian Beast	Human, Barbarian, Beast	2	2	TOR	1121	30118	When you control no Swamps, sacrifice this creature.
Minotaur Explorer	{1}{R}	2	R	Creature — Minotaur Scout	Minotaur, Scout	3	3	ODY	1164	29453	When this creature enters, sacrifice it unless you discard a card at random.
Minotaur Explorer	{1}{R}	2	R	Creature — Minotaur Scout	Minotaur, Scout	3	3	ODY	1164	29453	When this creature enters, sacrifice it unless you discard a card at random.
Balthor the Stout	{1}{R}{R}	3	R	Legendary Creature — Dwarf Barbarian	Dwarf, Barbarian	2	2	TOR	1144	23958	Other Barbarian creatures get +1/+1. / {R}: Another target Barbarian creature gets +1/+0 until end of turn.
Barbarian Lunatic	{2}{R}	3	R	Creature — Human Barbarian	Human, Barbarian	2	1	ODY	1094	28957	{2}{R}, Sacrifice this creature: It deals 2 damage to target creature.
Barbarian Lunatic	{2}{R}	3	R	Creature — Human Barbarian	Human, Barbarian	2	1	ODY	1094	28957	{2}{R}, Sacrifice this creature: It deals 2 damage to target creature.
Barbarian Lunatic	{2}{R}	3	R	Creature — Human Barbarian	Human, Barbarian	2	1	ODY	1094	28957	{2}{R}, Sacrifice this creature: It deals 2 damage to target creature.
Dwarven Bloodboiler	{R}{R}{R}	3	R	Creature — Dwarf	Dwarf	2	2	JUD, PLST	1145	9119	Tap an untapped Dwarf you control: Target creature gets +2/+0 until end of turn.
Dwarven Recruiter	{2}{R}	3	R	Creature — Dwarf	Dwarf	2	2	ODY, PLST	1114	11700	When this creature enters, search your library for any number of Dwarf cards, reveal them, then shuffle and put those cards on top in any order.
Dwarven Recruiter	{2}{R}	3	R	Creature — Dwarf	Dwarf	2	2	ODY, PLST	1114	11700	When this creature enters, search your library for any number of Dwarf cards, reveal them, then shuffle and put those cards on top in any order.
Ember Beast	{2}{R}	3	R	Creature — Beast	Beast	3	4	BBD, CN2, DMR, GTC, ODY	1089	29269	This creature can't attack or block alone.
Ember Beast	{2}{R}	3	R	Creature — Beast	Beast	3	4	BBD, CN2, DMR, GTC, ODY	1089	29269	This creature can't attack or block alone.
Ember Beast	{2}{R}	3	R	Creature — Beast	Beast	3	4	BBD, CN2, DMR, GTC, ODY	1089	29269	This creature can't attack or block alone.
Longhorn Firebeast	{2}{R}	3	R	Creature — Elemental Ox Beast	Elemental, Ox, Beast	3	2	TOR	1114	26149	When this creature enters, any opponent may have it deal 5 damage to them. If a player does, sacrifice this creature.
Longhorn Firebeast	{2}{R}	3	R	Creature — Elemental Ox Beast	Elemental, Ox, Beast	3	2	TOR	1114	26149	When this creature enters, any opponent may have it deal 5 damage to them. If a player does, sacrifice this creature.
Longhorn Firebeast	{2}{R}	3	R	Creature — Elemental Ox Beast	Elemental, Ox, Beast	3	2	TOR	1114	26149	When this creature enters, any opponent may have it deal 5 damage to them. If a player does, sacrifice this creature.
Pitchstone Wall	{2}{R}	3	R	Creature — Wall	Wall	2	5	PLST, TOR	1118	26435	Defender (This creature can't attack.) / Whenever you discard a card, you may sacrifice this creature. If you do, return the discarded card from your graveyard to your hand.
Pitchstone Wall	{2}{R}	3	R	Creature — Wall	Wall	2	5	PLST, TOR	1118	26435	Defender (This creature can't attack.) / Whenever you discard a card, you may sacrifice this creature. If you do, return the discarded card from your graveyard to your hand.
Anger	{3}{R}	4	R	Creature — Incarnation	Incarnation	2	2	AFC, CMA, CMD, DDI, FIC, JUD, LTC, M3C, PLST, PZ1, SLD, SOC, TD0, UMA, WC03	1274	351	Haste / As long as this card is in your graveyard and you control a Mountain, creatures you control have haste.
Anger	{3}{R}	4	R	Creature — Incarnation	Incarnation	2	2	AFC, CMA, CMD, DDI, FIC, JUD, LTC, M3C, PLST, PZ1, SLD, SOC, TD0, UMA, WC03	1274	351	Haste / As long as this card is in your graveyard and you control a Mountain, creatures you control have haste.
Bomb Squad	{3}{R}	4	R	Creature — Dwarf	Dwarf	1	1	ODY	1127	18968	{T}: Put a fuse counter on target creature. / At the beginning of your upkeep, put a fuse counter on each creature with a fuse counter on it. / Whenever a creature has four or more fuse counters on it, remove all fuse counters from it and destroy it. That creature deals 4 damage to its controller.
Chainflinger	{3}{R}	4	R	Creature — Beast	Beast	2	2	ODY	1160	30072	{1}{R}, {T}: This creature deals 1 damage to any target. / Threshold — {2}{R}, {T}: This creature deals 2 damage to any target. Activate only if there are seven or more cards in your graveyard.
Chainflinger	{3}{R}	4	R	Creature — Beast	Beast	2	2	ODY	1160	30072	{1}{R}, {T}: This creature deals 1 damage to any target. / Threshold — {2}{R}, {T}: This creature deals 2 damage to any target. Activate only if there are seven or more cards in your graveyard.
Chainflinger	{3}{R}	4	R	Creature — Beast	Beast	2	2	ODY	1160	30072	{1}{R}, {T}: This creature deals 1 damage to any target. / Threshold — {2}{R}, {T}: This creature deals 2 damage to any target. Activate only if there are seven or more cards in your graveyard.
Dwarven Driller	{3}{R}	4	R	Creature — Dwarf	Dwarf	2	2	JUD	1152	16915	{T}: Destroy target land unless its controller has this creature deal 2 damage to them.
Dwarven Driller	{3}{R}	4	R	Creature — Dwarf	Dwarf	2	2	JUD	1152	16915	{T}: Destroy target land unless its controller has this creature deal 2 damage to them.
Fledgling Dragon	{2}{R}{R}	4	R	Creature — Dragon	Dragon	2	2	JUD, MH3	1222	20544	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +3/+3 and has "{R}: This creature gets +1/+0 until end of turn."
