name	cost	mv	type	colors	cube_color	section	colorshift	role	in_block	elo	edh	dead	strong	errata	oob	sets	archetypes	note
Ghoulcaller's Bell	{1}	1	Artifact		C	Colorless		Lantern win: cheap symmetric mill, fuels graveyard themes.	N/A	1208	6378	0	0	0	0	ISD		Already mills each player 1/turn; lantern + self-mill enabler.
Lantern of Insight	{1}	1	Artifact		C	Colorless		Lantern-control core: see tops, enable selective mill lock.	N/A	1270	5648	1	0	1	0	5DN, PLST		Lantern win (#15); errata to mill 1/upkeep, real clock.
Pyxis of Pandemonium	{1}	1	Artifact		C	Colorless		Lantern-style exile clock; symmetric face-down library strip.	N/A	1191	11643	1	0	1	0	THS		Lantern win (#15); errata so exile also mills, real clock.
The Rack	{1}	1	Artifact		C	Colorless	B	empty-opp-hand payoff (prison win)	N/A	1169	16305	0	0	0	0	3ED, 4BB, 4ED, ATQ, DPA, FBB, MB2, PRM, PS11, PTC, SUM, TSB	prison	Punishes empty opp hand behind Bridge; honest clock
Anvil of Bogardan	{2}	2	Artifact		C	Colorless		enabler: each player loots in draw step + no max hand -> feeds punishers	N/A	1312	5301	0	0	0	0	VIS		Symmetric loot; the discard feeds graveyard themes, draw feeds Underworld Dreams.
Coldsteel Heart	{2}	2	Snow Artifact		C	Colorless		Two-mana fixing rock; enters tapped, fixed color.	N/A	1445	2073	0	0	0	0	2X2, C15, CM2, CSP, HA4, J22, PLST		Tapped fixing rock; modest, supports multicolor lock decks.
Contagion Clasp	{2}	2	Artifact		C	Colorless		Proliferate + removal (repeatable counter engine)	N/A	1195	1396	0	0	0	0	DDF, ECC, F11, ONC, PIP, PLST, PRM, SOM, TD2, TSR	counter alt-win;proliferate;removal	ETB shrinks a creature, then repeatable proliferate; cheap counter accelerant
Containment Construct	{2}	2	Artifact Creature — Construct		C	Colorless		discard-recursion engine	Out-exception	1244	1984	0	0	0	1	MSC, NEO, PLST, SOC	gy-storm;madness	Play discarded cards; turns loot into card advantage
Cursed Totem	{2}	2	Artifact		C	Colorless		Hatebear-style lock on creature activated abilities.	N/A	1174	2514	0	0	0	0	6ED, MH2, MIR, WC00		Shuts creature abilities incl. Opposition-style tappers; sideways prison.
Damping Sphere	{2}	2	Artifact		C	Colorless		Anti-ramp and anti-storm tax; curbs degenerate turns.	N/A	1207	4970	0	0	0	0	DMR, DOM		Caps big-mana lands and storm; honest-combo speed-bump.
Defense Grid	{2}	2	Artifact		C	Colorless		Protects your combo turn; taxes opponents' interaction.	N/A	1287	1875	0	0	0	0	8ED, 9ED, BRR, MPS, ULG, WC00		Shields honest-combo turns from counters; asymmetric tax.
Fellwar Stone	{2}	2	Artifact		C	Colorless		Two-mana fixing rock keyed to opponents' lands.	N/A	1447	17	0	0	0	0	4BB, 4ED, 5ED, 9ED, AFC, BLC, BRC, C15, C16, C17, CLB, CM2, CMD, CMM, DMC, DRK, DSC, ECC, ME3, MKC, MOC, MSC, NCC, NEC, ONC, OTC, PLST, PTC, REN, SLD, SOC, TDC, WOC		Untapped fixing rock; mild, period-appropriate, no fast-mana jump.
Howling Mine	{2}	2	Artifact		C	Colorless		classic symmetric extra-draw enabler; tapping it = a real decision	N/A	1264	720	0	0	0	0	10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, BRR, C16, CED, CEI, CMD, FBB, LEA, LEB, M10, PLST, PS11, PTC, SLD, SUM		Untapped clause = meaningful tap-to-deny choice. Core wheel enabler.
Krark's Thumb	{2}	2	Legendary Artifact		C	Colorless		Coin-flip enabler (flip two, ignore one) — the flip linchpin	N/A	1200	5001	1	0	1	0	MRD, PLST, SLD	coin-flip;counter alt-win enabler	Turns 50/50 into 75/25; backbone of the Chance Encounter package; #12
Mind Stone	{2}	2	Artifact		C	Colorless		Colorless rock that cashes for a card late.	N/A	1358	32	0	0	0	0	10E, 40K, AFC, BLC, BRC, C14, C15, C18, C21, CLB, CM2, CMM, DCI, DD2, DDP, DMR, DSC, FIC, HA1, IMA, JVC, KHC, LCC, LTC, MKC, MOC, ONC, PIP, PLST, PRM, PW21, SOC, WC97, WHO, WOC, WTH, ZNC		Low-power rock; never flooding because it sacs for card.
Mindcrank	{2}	2	Artifact		C	Colorless		Lantern/mill payoff: life loss snowballs into deck-out.	N/A	1293	963	1	0	1	0	CLB, IMA, NPH, SLD		Lantern win (#15); errata to self-mill so it acts alone.
Parallax Inhibitor	{2}	2	Artifact		C	Colorless		Fading-counter refueler (re-arms Parallax / Tangle Wire fades)	N/A	1165	30798	1	0	1	0	NEM	Tangle Wire;fading;stax/prison	Directly extends Tangle Wire (fading 3) + Parallax suite; niche, errata per #12
Prismatic Lens	{2}	2	Artifact		C	Colorless		Filtering rock: colorless or filtered any-color mana.	N/A	1363	1631	0	0	0	0	C18, CMM, E02, EMA, OTC, PLST, TSP, TSR, UMA		Cheap filter rock; smooths colors for build-around decks.
Spawning Pit	{2}	2	Artifact		C	Colorless		Charge-counter sac engine (proliferate target, token sink)	N/A	1268	4245	0	0	0	0	DST, J22, PLST, TD2	charge counters;proliferate;sacrifice	Banks sacs as charge counters; proliferate doubles tokens; grindy
Sphere of Resistance	{2}	2	Artifact		C	Colorless		Symmetric spell tax; slows the whole table evenly.	N/A	1389	8164	0	0	0	0	EXO, MPS, SLD, VMA, WC99		Cheap symmetric tax; good prison glue, low power.
Star Compass	{2}	2	Artifact		C	Colorless		Tapland-style fixing rock keyed to your basics.	N/A	1320	4606	0	0	0	0	8ED, IMA, PLS, PLST, SPG		Slow color fixing; enters tapped, low power by design.
Sundial of the Infinite	{2}	2	Artifact		C	Colorless		End turn before empty-library draw = Stifle for Leveler's draw-step loss (#13)	N/A	1321	2781	0	0	0	0	M12, PLST, TLE	ad-nauseam-combo;combo;high-tide-prison;leveler-sundial;prison;self-mill-deck-out	Spec #13: Stifle the Leveler draw-step loss; non-creature artifact, any era
Throne of Geth	{2}	2	Artifact		C	Colorless		One-shot proliferate via artifact sac (cheap counter burst)	N/A	1201	3696	0	0	0	0	2XM, SOM	counter alt-win;proliferate;sacrifice	Sac an artifact for a free proliferate; cheap kick for alt-win/fade counters
Tsabo's Web	{2}	2	Artifact		C	Colorless		Cantrip land-lock; taxes utility/man-lands, replaces itself.	N/A	1243	19109	0	0	0	0	INV, MB2, WC01		Cantrip soft-lock on utility lands; never a dead draw.
Winter Orb	{2}	2	Artifact		C	Colorless		Classic mana-denial prison; slows everyone to one land/turn.	N/A	1397	3246	0	0	0	0	2ED, 30A, 3ED, 4BB, 4ED, 5ED, CED, CEI, EMA, FBB, LEA, LEB, ME1, PRM, PTC, SLD, SUM, WC97		Core colorless mana-denial; pairs with cheap-rock prison decks.
Crawlspace	{3}	3	Artifact		C	Colorless		Defensive attack cap; only two creatures attack you/combat.	N/A	1323	1435	0	0	0	0	C13, DMR, ULG		Buys time for slow lock/alt-win shells; pure defense.
Crucible of Worlds	{3}	3	Artifact		C	Colorless		Land-recursion engine; enables fetch/sac-land grind value.	N/A	1383	588	0	0	0	0	10E, 2X2, 5DN, J13, M19, MPS, PIP, PM19, PRM, PWOR, SLD		Grindy land recursion; supports Glacial-Chasm/sac-land prison loops.
Pristine Talisman	{3}	3	Artifact		C	Colorless		Lifegain rock; supports grindy prison and Ad-Nauseam life buffer.	N/A	1243	1314	0	0	0	0	BRR, C13, C14, C21, CM2, IMA, LTC, NPH, PNPH, PRM		Slow rock + lifegain; buffers life for Ad Nauseam.
Quicksilver Fountain	{3}	3	Artifact		C	Colorless		Slow Islands-lock engine — grinds every land to Island; classic prison piece	N/A	1127	12729	0	0	0	0	MRD	high-tide-prison	Colorless flood engine; locks foes off colors, fuels High Tide.
Static Orb	{3}	3	Artifact		C	Colorless		Harder Winter Orb; caps untaps at two permanents total.	N/A	1242	5686	0	0	0	0	7ED, MB2, MPS, TMP, WC01		Stronger stasis; rewards low-permanent prison shells.
Storage Matrix	{3}	3	Artifact		C	Colorless		Untap-restriction prison; decision-rich which type untaps.	N/A	1155	13554	0	0	0	0	9ED, UDS		Decision-intensive untap lock; low power, very on-philosophy.
Temple Bell	{3}	3	Artifact		C	Colorless		activated symmetric draw; you control timing of the flood for your punishers	N/A	1232	1963	0	0	0	0	C13, C16, LCC, M11		On-demand draw; fills hands on YOUR turn so Vise/Owl fire before opp empties.
Trinisphere	{3}	3	Artifact		C	Colorless		Hard three-mana floor; very punishing tax effect.	N/A	1345	5012	0	1	0	0	2XM, DST, MPS, PEWK, SLD, V09		Flag too_strong: 3-mana floor can hard-lock low-curve cube.
Worn Powerstone	{3}	3	Artifact		C	Colorless		Tapped two-mana ramp rock for big-mana sinks.	N/A	1377	572	0	0	0	0	40K, C14, C15, C17, C18, CM2, CMM, DDE, EMA, HA7, LCC, LTC, MH3, PLST, PMEI, PZ1, SCD, USG, WC99		Tapped ramp; powers Braids/mana-sink decks without fast-mana jump.
Bottled Cloister	{4}	4	Artifact		C	Colorless		hand-hiding engine (Bridge synergy)	N/A	1192	20772	0	0	0	0	RAV, RVR	prison	Hide hand each opp turn = empty board-hand for Bridge
Darksteel Reactor	{4}	4	Artifact		C	Colorless		Colorless counter alt-win (charge → 20 = win); proliferate payoff	N/A	1166	3914	1	0	1	0	DST, EOC, HA1	charge counters;counter alt-win;proliferate	Cleanest count-to-20 win for proliferate; indestructible; errata per #12
Empowered Autogenerator	{4}	4	Artifact		C	Colorless		Charge-counter ramp battery (proliferate target, escalating mana)	N/A	1292	4166	0	0	0	0	C19, EOC, PLST	big-red mana sink;charge counters;proliferate	Self-growing mana; proliferate jumps it ahead; honest slow build-around
Font of Mythos	{4}	4	Artifact		C	Colorless		heavy enabler: each player draws TWO extra per draw step	N/A	1251	2206	0	0	0	0	CON, PLST, PS11, SLD		Rockets hands past 7 for Ebony Owl; the hardest enabler. Surplus vs Howling Mine.
Otherworld Atlas	{4}	4	Artifact — Book		C	Colorless		charge-counter wheel (counters-matter synergy): each player draws = counters	N/A	1242	7026	0	0	0	0	AVR		Scaling symmetric draw; ties into cube's counters theme + proliferate. Slow build.
Teferi's Puzzle Box	{4}	4	Artifact		C	Colorless		wheel-lock keystone (#14): everyone bottoms hand + redraws each draw step	Out-exception	1230	1904	0	0	0	0	6ED, 7ED, 8ED, 9ED, J22, PLST, SLD, VIS		Keystone forced-wheel; LOCK not free win. Pair with hand-punishers as clock.
Trading Post	{4}	4	Artifact		C	Colorless		Grindy mana-sink value engine (user-named for big-red shell)	N/A	1256	2126	0	0	0	0	BRC, C14, C16, CM2, LTC, M13, M14, MSC, PLST	lifegain;mana sink;value;value engine	User-named: four modal sinks (goats/life/draw); honest grind, no fast value
Leveler	{5}	5	Artifact Creature — Juggernaut		C	Colorless		Empties own library on ETB; combos with deck-out win + Sundial	Out-exception	1200	6741	0	0	0	1	MRD, PLST, TSR	ad-nauseam-combo;combo;high-tide-prison;leveler-sundial;self-mill-deck-out	Artifact CREATURE → Out-exception; empties library for Labman/Jace or Sundial line (#13)
Memory Jar	{5}	5	Artifact		C	Colorless		wheel artifact (storm burst)	N/A	1378	6807	0	0	0	0	AA3, ULG, V10, VMA	storm;wheel	Sac for fresh 7s; one-shot storm/draw burst
Contagion Engine	{6}	6	Artifact		C	Colorless		Proliferate-twice engine + board shrink (top-end counter payoff)	N/A	1254	1802	0	0	0	0	OTP, PLST, SLD, SOM	counter alt-win;proliferate;removal	Double-proliferate engine; jumps alt-win counters and Tangle Wire fades fast
Mirror Universe	{6}	6	Artifact		C	Colorless		Headline finisher: get low (Death's Shadow shell), swap totals away. One-shot, sacrifices itself.	N/A	1195	21840	0	0	0	0	LEG, ME1, OLEP		Named anchor. Non-creature artifact, era ok. Honest one-shot life swap.
Soul Conduit	{6}	6	Artifact		C	Colorless		Repeatable Mirror Universe: {6} to swap two players' totals. Slow colorless life-swap finisher.	N/A	1137	12576	0	0	0	0	NPH		Repeatable but {6}/use = honest, slow. Colorless backup to Mirror Universe; not a free engine.
Possessed Portal	{8}	8	Artifact		C	Colorless		Top-end hard lock: stops draws, grinds board to zero.	N/A	1140	16744	0	0	0	0	5DN		Fragile 8-mana payoff lock; expensive enough to stay fair.
Glimpse the Unthinkable	{U}{B}	2	Sorcery	U, B	U/B	Dimir UB		Gold mill payoff — big chunk mill to pair with Brain Freeze deck-out plan	N/A	1248	5206	0	0	0	0	2X2, GK1, HA6, IMA, PRM, RAV	high-tide-prison;mill-storm	Dimir mill payoff to back up Brain Freeze; possibly redundant.
Mind Funeral	{1}{U}{B}	3	Sorcery	U, B	U/B	Dimir UB		Gold mill payoff — variable big mill; alternate Dimir deck-out angle	N/A	1153	9437	0	0	0	0	ARB, MMA, PLST	high-tide-prison;mill-storm	Dimir mill; surplus mill payoff alongside Brain Freeze.
Phyrexian Tyranny	{U}{B}{R}	3	Enchantment	U, B, R	U/B	Dimir UB	U/B	draw-punisher tax: each draw costs opp 2 life unless they pay {2}	N/A	1043	8022	0	0	0	0	2X2, PLS, PLST		Printed Grixis; COLORSHIFT->U/B drop the R pip. Symmetric tax; very low elo (1043).
Squandered Resources	{B}{G}	2	Enchantment	B, G	B/G	Golgari BG		Burst-mana sink fuel (sac lands for big X / combo turns)	N/A	1254	5386	0	0	0	0	OLEP, VIS	big-mana sink;ritual;sacrifice	Cross-ref Tangle Wire/Parallax: dump lands for explosive X-spell turns
Smokestack	{4}	4	Artifact		B/G	Golgari BG	BG	Colorshifted prison: symmetric sacrifice engine on soot counters.	Out-exception	1271	8374	0	0	0	1	MB2, PLST, SLC, USG, V14, VMA		Locked >BG; BG moves/removes counters; soot-counter sac lock.
Fevered Visions	{1}{U}{R}	3	Enchantment	U, R	U/R	Izzet UR		self-contained wheel-punisher: each player draws EOT, opp takes 2 if 4+ cards	N/A	1156	4362	0	0	0	0	PSOI, SIR, SOI, TLE		Printed UR gold (no shift). Engine + clock in one card; bleeds into UR guild slot.
Stitch in Time	{1}{U}{R}	3	Sorcery	U, R	U/R	Izzet UR		Coin-flip extra turn (Izzet flip payoff)	N/A	1192	5040	0	0	0	0	GK1, GPT, RVR, SLD	coin-flip;extra turn	50/50 extra turn (75% with Thumb); Izzet UR flip card; spent-on-cast
Geier Reach Sanitarium		0	Legendary Land		Land	Land		manland enabler: symmetric loot on a land; uncounterable wheel pressure	N/A	1196	431	0	0	0	0	AFC, C19, CMM, DMC, EMN, LCC, PEMN, SIR, SLD		Land-slot enabler; loots for graveyard + feeds Underworld Dreams. Hard to remove.
Glacial Chasm		0	Land		Land	Land		Cumulative-upkeep age-counter pillow-fort land (buys time for slow wins)	N/A	1291	2181	0	0	0	0	ICE, ME2, V12	alt-win enabler;cumulative-upkeep/age;pillow-fort	Total damage immunity for escalating life cost; shields the count-to-win clocks
Hall of Heliod's Generosity		0	Legendary Land		Land	Land		Repeatable enchantment recursion from GY (mana-light Replenish trickle)	Out-exception	1168	418	0	0	0	0	DSC, H1R, MH1, PRM, WOC		Land slot; grindy single-enchant recursion. Belongs in Land section, not WU
Karn's Bastion		0	Land		Land	Land		Repeatable proliferate land (counter-package engine)	N/A	1170	202	0	0	0	0	CMM, EOC, LCC, MOC, NCC, ONC, PRM, PWAR, RVR, SLD, WAR	Tangle Wire;counter alt-win;proliferate	Colorless repeatable proliferate; powers Braid age / Tangle Wire fade / alt-wins
Mage-Ring Network		0	Land		Land	Land		Storage-counter mana battery (Braid of Fire payoff / big-red sink)	N/A	1129	4180	0	0	0	0	C21, CMM, ORI, UMA	big-red mana sink;proliferate;ramp	Stores mana into counters; proliferate-able; banks Braid of Fire's R surplus
Mikokoro, Center of the Sea		0	Legendary Land		Land	Land		land-slot symmetric draw pump; floods hands for the punisher suite	N/A	1161	1160	0	0	0	0	A25, C21, DMC, SOK		Colorless land version of Temple Bell; redundant-axis, surplus land option.
Cabal Pit		0	Land		B	Mono-B		threshold removal land (in-block)	N/A	1128	6399	0	0	0	0	ODY, PLST	control;gy-storm	B + self-ping (life-loss synergy); threshold -2/-2
Dakmor Salvage		0	Land		B	Mono-B		dredge land (self-mill + retrace fuel)	N/A	1194	1281	0	0	0	0	DDJ, EOC, FUT, M3C, MMA, UMA	gy-storm	Dredge 2 self-mill; recurs for Raven's Crime retrace
Polluted Mire		0	Land		B	Mono-B		cycling land (discard synergy)	N/A	1192	4011	0	0	0	0	40K, ATH, BRB, BTD, C14, C15, CMA, DDD, DMR, GVL, PD3, USG	gy-storm	B source; cycling = discard trigger for Faith/Shadow
Profane Tutor		0	Sorcery	B	B	Mono-B		slow tutor (suspend 2)	N/A	1395	1639	0	0	0	0	MH2, PMH2, PRM	storm	Blank turn-of-cast; slow = low-power tutor
Accursed Centaur	{B}	1	Creature — Zombie Centaur	B	B	Mono-B		Aggressive 2/2 for B with sac-a-creature cost; cheap body + intentional fodder-feed	ONS-block	1058	22752	0	0	0	0	ONS		2/2 for B; ETB sac feeds death-triggers (turn drawback to fuel)
Black Vise	{1}	1	Artifact		B	Mono-B	B	the clock: X = hand size - 4 to a chosen opponent each upkeep	N/A	1370	10758	0	0	0	0	2ED, 30A, 3ED, 4BB, 4ED, CED, CEI, FBB, LEA, LEB, MB2, ME3, MPS, PTC, SUM, V10		COLORSHIFT->B per package. Iconic clock vs flooded hands. Turn-1 piece.
Blood Celebrant	{B}	1	Creature — Human Cleric	B	B	Mono-B		1-drop life-for-any-color ritual body; fixing/sac-fodder Cleric; fragile combo enabler	ONS-block	1225	5729	0	0	0	0	LGN		Cleric fodder + any-color fixing; enables splashes/alt-win combos
Bond of Agony	{X}{B}	1	Sorcery	B	B	Mono-B		Pure life-as-resource burn: pay X life, each opponent loses X. Honest one-shot.	N/A	1189	14880	0	0	0	0	DIS		Named. Spell, life stapled to it. Great with Transcendence / survive-at-0.
Cabal Trainee	{B}	1	Creature — Human Minion	B	B	Mono-B		1-drop sac fodder + free self-sac outlet (combat trick); aristocrats/Smokestack-BG enabler	ODY-block	1201	27713	0	0	0	0	JUD		Cheap body that sacrifices itself; fodder + combat blowout
Culling the Weak	{B}	1	Instant	B	B	Mono-B		sac ritual	N/A	1353	569	0	0	0	0	EXO, MB2, PMEI, SLD, SOA	storm	Sac creature -> BBBB; storm w/ token chaff
Dark Ritual	{B}	1	Instant	B	B	Mono-B		Ritual fuel — +2 mana and +1 storm count to power the combo turn	N/A	1459	34	0	0	0	0	2ED, 30A, 3ED, 40K, 4BB, 4ED, 5ED, A25, BRB, BTD, CED, CEI, CST, DDC, DDE, DKM, DVD, FBB, FCA, G09, HOP, ICE, ITP, J21, LEA, LEB, MB2, ME4, MIR, MMQ, MP2, MSC, PLST, PMEI, PRM, PTC, RQS, SLD, SLP, STA, SUM, TMC, TMP, TPR, USG, V13, VMA, WC01, WC99	adnauseam-storm;storm	Fast mana, but intended fragile-payoff fuel (#5); 1 copy only, no LED-tier mana
Death's Shadow	{B}	1	Creature — Avatar	B	B	Mono-B		life-loss payoff beater (spec #11)	Out-exception	1204	8283	0	0	0	1	2XM, HA4, MB2, MM3, SCH, SLD, SLP, WWK	aggro;combo	Out-exc: spec #11 names it; huge when life low (Bridge/rituals)
Demonic Consultation	{B}	1	Instant	B	B	Mono-B		Cheap dig that self-exiles 6+ cards — tutor AND a self-mill toward deck-out	N/A	1536	852	0	0	0	0	ICE, MB2, ME2, SLC, SLD	adnauseam-storm;self-mill-deck-out	Efficient but self-mill risk is the cost; doubles as deck-out enabler for Labman
Entrails Feaster	{B}	1	Creature — Zombie Cat	B	B	Mono-B		1-drop GY-hate that grows by exiling creatures; slow incremental threat; Zombie	ONS-block	1168	23021	0	0	0	0	ONS		Grindy 1-drop; soft GY-hate; punishes reanimator/threshold mirrors
Font of Agonies	{B}	1	Enchantment	B	B	Mono-B		Blood-counter payoff for paying life: every life payment fuels repeatable creature removal.	N/A	1187	5518	0	0	0	0	PRNA, RNA		Named (Phyrexian-mana / pay-life payoff). Counters-matter. Needs pay-life enablers to fire.
One with Nothing	{B}	1	Instant	B	B	Mono-B		engine: empty-hand enabler / storm loop	N/A	1055	16807	1	0	1	0	PLST, SOK	gy-storm;hellbent	Errata to drain per card discarded; loops w/ Shadow of the Grave
Postmortem Lunge	{X}{B/P}	1	Sorcery	B	B	Mono-B		Phyrexian-mana reanimation: pay 2 life to flash back a creature for a turn. Life-as-resource tempo.	N/A	1260	18125	0	0	0	0	NPH		Non-creature; Phyrexian-mana pay-life. Named-category (Phyrexian-mana) enabler.
Putrid Imp	{B}	1	Creature — Zombie Imp	B	B	Mono-B		discard outlet (1-drop, threshold)	ODY-block	1276	5159	0	0	0	0	PD3, TOR, VMA	gy-storm;madness	Premier block self-discard outlet; threshold flyer
Quest for the Nihil Stone	{B}	1	Enchantment	B	B	Mono-B		empty-opp-hand payoff	N/A	1195	10281	0	0	0	0	PLST, WWK	hellbent;prison	Discard punisher -> 5 life loss when opp hellbent
Raven's Crime	{B}	1	Sorcery	B	B	Mono-B		recurring discard (retrace)	N/A	1193	15296	0	0	0	0	EVE, MMA, PLST	control;hellbent	Retrace via land discard; grindy w/ Dakmor + Faith
Shrieking Affliction	{B}	1	Enchantment	B	B	Mono-B		empty-opp-hand payoff	N/A	1164	11028	0	0	0	0	RTR	prison	Opp <=1 card -> lose 3; closes discard-lock games
Songs of the Damned	{B}	1	Instant	B	B	Mono-B		Graveyard ritual — explosive mana off a full yard, storm-count fuel	N/A	1203	3244	0	0	0	0	ICE, ME2, UMA	adnauseam-storm;graveyard-storm;gy-storm;storm	Needs a full yard → fragile, build-around; bridges to graveyard-storm theme
Spoils of the Vault	{B}	1	Instant	B	B	Mono-B		Dig to a combo piece, paying life — pairs with Phyrexian Unlife / Ad Nauseam	N/A	1192	22254	0	0	0	0	MRD, UMA	adnauseam-modern-draw-out;adnauseam-storm;life-loss	Spec-named tutor; self-mill + life loss = on-theme fragile dig, not a staple
Zombie Cannibal	{B}	1	Creature — Zombie	B	B	Mono-B		1-drop Zombie with combat GY-exile; tribal + soft GY-hate; cheap aggressive body	ODY-block	1130	25329	0	0	0	0	ODY		Aggro Zombie 1-drop; incidental GY disruption on connect
Asylum Visitor	{1}{B}	2	Creature — Vampire Wizard	B	B	Mono-B		madness creature + hellbent draw	Out-exception	1272	7118	0	0	0	1	C19, INR, J21, PSOI, SOI	hellbent;madness	Out-exc: madness + empty-hand draw payoff; no block equiv
Bloodcurdler	{1}{B}	2	Creature — Horror	B	B	Mono-B		Self-mill threshold enabler; flyer that fuels GY-storm/threshold; cheap engine	ODY-block	1166	26247	0	0	0	0	ODY		Self-mill turns on threshold for whole deck; flying clock
Boneknitter	{1}{B}	2	Creature — Zombie Cleric	B	B	Mono-B		Zombie/Cleric glue; regenerates Zombies (protects sac engine); morph; tribal support	ONS-block	1137	20099	0	0	0	0	ONS		Protects Zombie tokens; both a Cleric AND Zombie for tribal
Cabal Interrogator	{1}{B}	2	Creature — Zombie Wizard	B	B	Mono-B		Repeatable scalable targeted discard on a Zombie body; hand-attack engine; tribal	ONS-block	1241	22595	0	0	0	0	SCG		Turn-by-turn Mind Rot on a stick; pressures hands slowly
Cabal Ritual	{1}{B}	2	Instant	B	B	Mono-B		Threshold ritual fuel — big mana late, storm-count enabler	ODY-block	1322	467	0	0	0	0	MB2, SLD, TOR, V16, VMA	adnauseam-storm;gy-storm;storm	In-block (TOR) ritual; threshold rewards graveyard-storm; fuel for combo turn
Chain of Smog	{1}{B}	2	Sorcery	B	B	Mono-B		discard 2 (copyable)	N/A	1405	3111	0	0	0	0	ONS, PLST	control	Strip 2; ELO 1405 but no infinite engine present here
Collective Brutality	{1}{B}	2	Sorcery	B	B	Mono-B		escalate discard (modal)	N/A	1368	11710	0	0	0	0	EMN, INR, PEMN, PLST, SIR, SLD	control;hellbent	Discard to escalate; drain+disrupt, fuels GY
Consumptive Goo	{B}{B}	2	Creature — Ooze	B	B	Mono-B		Repeatable -1/-1 plague pinger that grows; mana-sink removal; slow attrition engine	ONS-block	1258	22654	0	0	0	0	SCG		User-named plague; grinds small creatures down; honest BB-heavy cost
Ebony Owl Netsuke	{2}	2	Artifact		B	Mono-B	B	flooded-hand punisher: 4 dmg if an opponent has 7+ cards in hand	N/A	1164	12804	0	0	0	0	SOK		COLORSHIFT->B. Big payoff when Puzzle Box/Font/Memory Jar flood hands to 7+.
False Cure	{B}{B}	2	Instant	B	B	Mono-B		In-block one-shot anti-lifegain punisher: their lifegain costs them 2 life each. Surprise blowout.	ONS-block	1140	16453	0	0	0	0	ONS		In-block (ONS) instant. Niche but on-theme; rewards reading opponent lifegain.
Frightcrawler	{1}{B}	2	Creature — Horror	B	B	Mono-B		Threshold evasive beater; 1/1 fear that becomes 3/3 with GY online; aggressive GY payoff	ODY-block	1179	24725	0	0	0	0	ODY		Unblockable threshold clock; payoff for self-mill aggro
Infernal Tutor	{1}{B}	2	Sorcery	B	B	Mono-B		Hellbent tutor — finds the combo piece when hand is empty (storm-natural)	N/A	1237	16268	0	0	0	0	DIS, J20, RVR	adnauseam-storm;hellbent;storm	Conditional tutor (needs empty hand / a duplicate) → fragile, build-around
