display_name	mana_cost	mv	colors	type	power	toughness	keywords	printings	cube_elo	edhrec_rank	text
Cabal Interrogator	{1}{B}	2	B	Creature — Zombie Wizard	1	1		SCG	1241.24307037825	22595	{X}{B}, {T}: Target player reveals X cards from their hand and you choose one of them. That player discards that card. Activate only as a sorcery.
Consumptive Goo	{B}{B}	2	B	Creature — Ooze	1	1		SCG	1258.49518875019	22654	{2}{B}{B}: Target creature gets -1/-1 until end of turn. Put a +1/+1 counter on this creature.
Disciple of Malice	{1}{B}	2	B	Creature — Human Cleric	1	2	Cycling, Protection	ONS	1140.9165458026	24582	Protection from white / Cycling {2} ({2}, Discard this card: Draw a card.)
Earthblighter	{1}{B}	2	B	Creature — Human Cleric	1	1		LGN	1137.35180132698	29238	{2}{B}, {T}, Sacrifice a Goblin: Destroy target land.
Filthy Cur	{1}{B}	2	B	Creature — Dog	2	2		ODY	1068.05830417999	26871	Whenever this creature is dealt damage, you lose that much life.
Frightcrawler	{1}{B}	2	B	Creature — Horror	1	1	Fear, Threshold	ODY	1179.00507354697	24725	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and can't block.
Headhunter	{1}{B}	2	B	Creature — Human Cleric	1	1	Morph	ONS	1185.18654417216	25453	Whenever this creature deals combat damage to a player, that player discards a card. / Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Rotting Giant	{1}{B}	2	B	Creature — Zombie Giant	3	3		ODY	1167.39000638359	30372	Whenever this creature attacks or blocks, sacrifice it unless you exile a card from your graveyard.
Aphetto Exterminator	{2}{B}	3	B	Creature — Human Wizard	3	1	Morph	LGN, PLST	1217.58161135016	24685	Morph {3}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, target creature gets -3/-3 until end of turn.
Cabal Archon	{2}{B}	3	B	Creature — Human Cleric	2	2		ONS	1104.36497842872	21040	{B}, Sacrifice a Cleric: Target player loses 2 life and you gain 2 life.
Cabal Slaver	{2}{B}	3	B	Creature — Human Cleric	2	1		ONS	1117.61754253021	24548	Whenever a Goblin deals combat damage to a player, that player discards a card.
Cabal Torturer	{1}{B}{B}	3	B	Creature — Human Minion	1	1	Threshold	TOR	1169.26720807666	26342	{B}, {T}: Target creature gets -1/-1 until end of turn. / Threshold — {3}{B}{B}, {T}: Target creature gets -2/-2 until end of turn. Activate only if there are seven or more cards in your graveyard.
Drinker of Sorrow	{2}{B}	3	B	Creature — Horror	5	3		LGN, PLST	1090.18096578733	12652	This creature can't block. / Whenever this creature deals combat damage, sacrifice a permanent.
Ebonblade Reaper	{2}{B}	3	B	Creature — Human Cleric	1	1	Morph	ONS	1145.2658382969	9725	Whenever this creature attacks, you lose half your life, rounded up. / Whenever this creature deals combat damage to a player, that player loses half their life, rounded up. / Morph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Embalmed Brawler	{2}{B}	3	B	Creature — Zombie	2	2	Amplify	LGN	1194.16796231635	29754	Amplify 1 (As this creature enters, put a +1/+1 counter on it for each Zombie card you reveal in your hand.) / Whenever this creature attacks or blocks, you lose 1 life for each +1/+1 counter on it.
Fledgling Imp	{2}{B}	3	B	Creature — Imp	2	2		ODY	1136.930649274	30790	{B}, Discard a card: This creature gains flying until end of turn.
Frightshroud Courier	{2}{B}	3	B	Creature — Zombie	2	1		ONS	1160.52135208353	29351	You may choose not to untap this creature during your untap step. / {2}{B}, {T}: Target Zombie creature gets +2/+2 and has fear for as long as this creature remains tapped. (It can't be blocked except by artifact creatures and/or black creatures.)
Ghastly Remains	{B}{B}{B}	3	B	Creature — Zombie	0	0	Amplify	LGN	1248.69533256232	28233	Amplify 1 (As this creature enters, put a +1/+1 counter on it for each Zombie card you reveal in your hand.) / At the beginning of your upkeep, if this card is in your graveyard, you may pay {B}{B}{B}. If you do, return it to your hand.
Gravegouger	{2}{B}	3	B	Creature — Nightmare Horror	2	2		TOR	1129.99226415099	28074	When this creature enters, exile up to two target cards from a single graveyard. / When this creature leaves the battlefield, return the exiled cards to their owner's graveyard.
Hollow Specter	{1}{B}{B}	3	B	Creature — Specter	2	2	Flying	LGN	1258.80366239607	23607	Flying / Whenever this creature deals combat damage to a player, you may pay {X}. If you do, that player reveals X cards from their hand and you choose one of them. That player discards that card.
Infected Vermin	{2}{B}	3	B	Creature — Rat	1	1	Threshold	ODY	1112.65038878663	21373	{2}{B}: This creature deals 1 damage to each creature and each player. / Threshold — {3}{B}: This creature deals 3 damage to each creature and each player. Activate only if there are seven or more cards in your graveyard.
Organ Grinder	{2}{B}	3	B	Creature — Zombie	3	1		TOR	1190.28962764422	29236	{T}, Exile three cards from your graveyard: Target player loses 3 life.
Rotlung Reanimator	{2}{B}	3	B	Creature — Zombie Cleric	2	2		ONS	1235.14989463984	15113	Whenever this creature or another Cleric dies, create a 2/2 black Zombie creature token.
Slithery Stalker	{1}{B}{B}	3	B	Creature — Nightmare Horror	1	1	Landwalk, Swampwalk	TOR	1165.39063456367	26562	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) / When this creature enters, exile target green or white creature an opponent controls. / When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Smokespew Invoker	{2}{B}	3	B	Creature — Zombie Mutant	3	1		LGN	1172.17937324948	29941	{7}{B}: Target creature gets -3/-3 until end of turn.
Spined Basher	{2}{B}	3	B	Creature — Zombie Beast	3	1	Morph	ONS	1111.40498861582	30910	Morph {2}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Treacherous Werewolf	{2}{B}	3	B	Creature — Werewolf Minion	2	2	Threshold	JUD, PLST	1143.50737906228	30386	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature dies, you lose 4 life."
Walking Desecration	{2}{B}	3	B	Creature — Zombie	1	1		ONS	1118.81392983431	26384	{B}, {T}: Creatures of the creature type of your choice attack this turn if able.
Zombie Trailblazer	{B}{B}{B}	3	B	Creature — Zombie Scout	2	2		TOR	1167.56975622656	14338	Tap an untapped Zombie you control: Target land becomes a Swamp until end of turn. / Tap an untapped Zombie you control: Target creature gains swampwalk until end of turn. (It can't be blocked as long as defending player controls a Swamp.)
Balthor the Defiled	{2}{B}{B}	4	B	Legendary Creature — Zombie Dwarf	2	2		JUD, SLD	1261.28672762217	9076	Minion creatures get +1/+1. / {B}{B}{B}, Exile Balthor: Each player returns all black and all red creature cards from their graveyard to the battlefield.
Cabal Executioner	{2}{B}{B}	4	B	Creature — Human Cleric	2	2	Morph	ONS	1132.27867008552	25049	Whenever this creature deals combat damage to a player, that player sacrifices a creature of their choice. / Morph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Cabal Surgeon	{2}{B}{B}	4	B	Creature — Human Minion	2	1		TOR	1083.94613760108	28886	{2}{B}{B}, {T}, Exile two cards from your graveyard: Return target creature card from your graveyard to your hand.
Childhood Horror	{3}{B}	4	B	Creature — Horror	2	2	Flying, Threshold	ODY	1110.71196762119	28341	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and can't block.
Deathmark Prelate	{3}{B}	4	B	Creature — Human Cleric	2	3		LGN	1170.82078252422	26357	{2}{B}, {T}, Sacrifice a Zombie: Destroy target non-Zombie creature. It can't be regenerated. Activate only as a sorcery.
Dirty Wererat	{3}{B}	4	B	Creature — Human Rat Minion	2	3	Threshold	ODY, PHUK, PSAL	1158.05788353456	23425	{B}, Discard a card: Regenerate this creature. / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and can't block.
Earsplitting Rats	{3}{B}	4	B	Creature — Rat	2	1		JUD	1188.67478632917	20964	When this creature enters, each player discards a card. / Discard a card: Regenerate this creature.
Famished Ghoul	{3}{B}	4	B	Creature — Zombie	3	2		ODY	1136.76915193913	30682	{1}{B}, Sacrifice this creature: Exile up to two target cards from a single graveyard.
Filth	{3}{B}	4	B	Creature — Incarnation	2	2	Landwalk, Swampwalk	JUD, PLST	1252.37162322811	4699	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) / As long as this card is in your graveyard and you control a Swamp, creatures you control have swampwalk.
Gloomdrifter	{3}{B}	4	B	Creature — Zombie Minion	2	2	Flying, Threshold	TOR	1164.03318494066	26302	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature enters, nonblack creatures get -2/-2 until end of turn."
Grinning Demon	{2}{B}{B}	4	B	Creature — Demon	6	6	Morph	ONS	1255.32612123007	19413	At the beginning of your upkeep, you lose 2 life. / Morph {2}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Haunted Cadaver	{3}{B}	4	B	Creature — Zombie	2	2	Morph	ONS	1189.25753038864	26928	Whenever this creature deals combat damage to a player, you may sacrifice it. If you do, that player discards three cards. / Morph {1}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Infernal Caretaker	{3}{B}	4	B	Creature — Human Cleric	2	2	Morph	LGN	1107.5195560193	27964	Morph {3}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, return all Zombie cards from all graveyards to their owners' hands.
Painbringer	{2}{B}{B}	4	B	Creature — Human Minion	1	1		ODY	1167.67688557512	28799	{T}, Exile any number of cards from your graveyard: Target creature gets -X/-X until end of turn, where X is the number of cards exiled this way.
Shambling Swarm	{1}{B}{B}{B}	4	B	Creature — Horror	3	3		TOR	1192.24804350663	24556	When this creature dies, distribute three -1/-1 counters among one, two, or three target creatures. For each -1/-1 counter you put on a creature this way, remove a -1/-1 counter from that creature at the beginning of the next end step.
Toxin Sliver	{3}{B}	4	B	Creature — Sliver	3	3		LGN, PLST, PSAL, SLD	1207.77576338283	11659	Whenever a Sliver deals combat damage to a creature, destroy that creature. It can't be regenerated.
Vile Deacon	{2}{B}{B}	4	B	Creature — Human Cleric	2	2		LGN	1099.57454460315	24716	Whenever this creature attacks, it gets +X/+X until end of turn, where X is the number of Clerics on the battlefield.
Whispering Shade	{3}{B}	4	B	Creature — Shade	1	1	Landwalk, Swampwalk	ODY	1180.71248446739	26979	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) / {B}: This creature gets +1/+1 until end of turn.
Carrion Wurm	{3}{B}{B}	5	B	Creature — Zombie Wurm	6	5		TOR	1161.37535971903	29294	Whenever this creature attacks or blocks, any player may exile three cards from their graveyard. If a player does, this creature assigns no combat damage this turn.
Cursed Monstrosity	{4}{B}	5	B	Creature — Horror	4	3	Flying	ODY	1206.99350961043	31064	Flying / Whenever this creature becomes the target of a spell or ability, sacrifice it unless you discard a land card.
Fallen Cleric	{4}{B}	5	B	Creature — Zombie Cleric	4	2	Morph, Protection	ONS	1113.36802248457	30766	Protection from Clerics / Morph {4}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Gangrenous Goliath	{3}{B}{B}	5	B	Creature — Zombie Giant	4	4		ONS	1163.78723092244	30512	Tap three untapped Clerics you control: Return this card from your graveyard to your hand.
Grotesque Hybrid	{4}{B}	5	B	Creature — Zombie	3	3		TOR	1206.05020110137	27523	Whenever this creature deals combat damage to a creature, destroy that creature. It can't be regenerated. / Discard a card: This creature gains flying and protection from green and from white until end of turn.
Masked Gorgon	{4}{B}	5	B	Creature — Gorgon	5	5	Threshold	JUD	1167.3393629663	28546	Green creatures and white creatures have protection from Gorgons. / Threshold — This creature has protection from green and from white as long as there are seven or more cards in your graveyard.
Repentant Vampire	{3}{B}{B}	5	B	Creature — Vampire	3	3	Flying, Threshold	ODY	1196.87592398443	28622	Flying / Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature. / Threshold — As long as there are seven or more cards in your graveyard, this creature is white and has "{T}: Destroy target black creature."
Sootfeather Flock	{4}{B}	5	B	Creature — Bird	3	2	Flying, Morph	LGN	1094.19871031575	30389	Flying / Morph {3}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Soul Scourge	{4}{B}	5	B	Creature — Nightmare Horror	3	2	Flying	TOR	1097.47081405955	29670	Flying / When this creature enters, target player loses 3 life. / When this creature leaves the battlefield, that player gains 3 life.
Thrashing Mudspawn	{3}{B}{B}	5	B	Creature — Beast	4	4	Morph	ONS	1128.6753481919	27820	Whenever this creature is dealt damage, you lose that much life. / Morph {1}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Treacherous Vampire	{4}{B}	5	B	Creature — Vampire	4	4	Flying, Threshold	JUD	1133.76570017879	30936	Flying / Whenever this creature attacks or blocks, sacrifice it unless you exile a card from your graveyard. / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature dies, you lose 6 life."
Zombie Assassin	{4}{B}	5	B	Creature — Zombie Assassin	3	2		ODY	1102.76953142447	29467	{T}, Exile two cards from your graveyard and this creature: Destroy target nonblack creature. It can't be regenerated.
Anurid Murkdiver	{4}{B}{B}	6	B	Creature — Zombie Frog Beast	4	3	Landwalk, Swampwalk	ONS	1132.29659921099	27658	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Aphetto Vulture	{4}{B}{B}	6	B	Creature — Zombie Bird	3	2	Flying	ONS	1134.62183089949	27635	Flying / When this creature dies, you may put target Zombie card from your graveyard on top of your library.
Dripping Dead	{4}{B}{B}	6	B	Creature — Zombie	4	1		LGN	1065.10329628604	29841	This creature can't block. / Whenever this creature deals combat damage to a creature, destroy that creature. It can't be regenerated.
Face of Fear	{5}{B}	6	B	Creature — Horror	3	4		ODY	1119.6586721348	30689	{2}{B}, Discard a card: This creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)
Putrid Raptor	{4}{B}{B}	6	B	Creature — Zombie Dinosaur Beast	4	4	Morph	SCG	1124.69191729652	30062	Morph—Discard a Zombie card. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Silent Specter	{4}{B}{B}	6	B	Creature — Specter	4	4	Flying, Morph	ONS, PONS, PRM	1251.39809407501	22167	Flying / Whenever this creature deals combat damage to a player, that player discards two cards. / Morph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Stalking Bloodsucker	{4}{B}{B}	6	B	Creature — Vampire	4	4	Flying	ODY	1200.88637760306	30915	Flying / {1}{B}, Discard a card: This creature gets +2/+2 until end of turn.
Sutured Ghoul	{4}{B}{B}{B}	7	B	Creature — Zombie	*	*	Trample	JUD, M12	1181.22982557299	25639	Trample / As this creature enters, exile any number of creature cards from your graveyard. / Sutured Ghoul's power is equal to the total power of the exiled cards and its toughness is equal to their total toughness.
Zombie Brute	{6}{B}	7	B	Creature — Zombie	5	4	Amplify, Trample	LGN	1206.81331362732	28940	Amplify 1 (As this creature enters, put a +1/+1 counter on it for each Zombie card you reveal in your hand.) / Trample
Hypnox	{8}{B}{B}{B}	11	B	Creature — Nightmare Horror	8	8	Flying	TOR	1151.53230593922	20757	Flying / When this creature enters, if you cast it from your hand, exile all cards from target opponent's hand. / When this creature leaves the battlefield, return the exiled cards to their owner's hand.
Sarcatog	{1}{B}{R}	3	B, R	Creature — Atog	1	2		ODY	1113.967886353	20364	Exile two cards from your graveyard: This creature gets +1/+1 until end of turn. / Sacrifice an artifact: This creature gets +1/+1 until end of turn.
Birchlore Rangers	{G}	1	G	Creature — Elf Druid Ranger	1	1	Morph	ONS, PSAL	1246.32484203947	11320	Tap two untapped Elves you control: Add one mana of any color. / Morph {G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Defiant Elf	{G}	1	G	Creature — Elf	1	1	Trample	LGN	1145.76486529218	22320	Trample
Diligent Farmhand	{G}	1	G	Creature — Human Druid	1	1		ODY, PLST	1285.36009414457	11503	{1}{G}, Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. / If this card is in a graveyard, effects from spells named Muscle Burst count it as a card named Muscle Burst.
Druid Lyrist	{G}	1	G	Creature — Human Druid	1	1		ODY	1208.03077061124	20621	{G}, {T}, Sacrifice this creature: Destroy target enchantment.
Krosan Wayfarer	{G}	1	G	Creature — Human Druid	1	1		JUD	1251.8183823646	11103	Sacrifice this creature: You may put a land card from your hand onto the battlefield.
Patron of the Wild	{G}	1	G	Creature — Elf	1	1	Morph	LGN	1151.57441040718	26471	Morph {2}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, target creature gets +3/+3 until end of turn.
Woodland Druid	{G}	1	G	Creature — Human Druid	1	2		ODY	1157.10200521328	22459	
Bloodline Shaman	{1}{G}	2	G	Creature — Elf Wizard Shaman	1	1		ONS, PSAL	1136.6758227848	19926	{T}: Choose a creature type. Reveal the top card of your library. If that card is a creature card of the chosen type, put it into your hand. Otherwise, put it into your graveyard.
Forcemage Advocate	{1}{G}	2	G	Creature — Centaur Shaman	2	1		JUD	1124.31728486128	25013	{T}: Return target card from an opponent's graveyard to their hand. Put a +1/+1 counter on target creature.
Harvester Druid	{1}{G}	2	G	Creature — Human Druid	1	1		JUD, PLST	1289.79155224892	19677	{T}: Add one mana of any color that a land you control could produce.
Nantuko Tracer	{1}{G}	2	G	Creature — Insect Druid	2	1		JUD	1122.73833711826	26086	When this creature enters, you may put target card from a graveyard on the bottom of its owner's library.
Skyshooter	{1}{G}	2	G	Creature — Centaur Archer	1	2	Reach	ODY	1171.11604498535	23223	Reach (This creature can block creatures with flying.) / {T}, Sacrifice this creature: Destroy target attacking or blocking creature with flying.
Tempting Wurm	{1}{G}	2	G	Creature — Wurm	5	5		ONS, PLST	1119.31237751736	12304	When this creature enters, each opponent may put any number of artifact, creature, enchantment, and/or land cards from their hand onto the battlefield.
Tribal Forcemage	{1}{G}	2	G	Creature — Elf Wizard	1	1	Morph	LGN	1174.69188695312	19795	Morph {1}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, creatures of the creature type of your choice get +2/+2 and gain trample until end of turn.
Wirewood Elf	{1}{G}	2	G	Creature — Elf Druid	1	2		ONS	1341.74782222416	15900	{T}: Add {G}.
Wirewood Hivemaster	{1}{G}	2	G	Creature — Elf	1	1		LGN, PSAL	1239.67879507475	19407	Whenever another nontoken Elf enters, you may create a 1/1 green Insect creature token.
Anurid Barkripper	{1}{G}{G}	3	G	Creature — Frog Beast	2	2	Threshold	JUD	1164.39629339678	25628	Threshold — This creature gets +2/+2 as long as there are seven or more cards in your graveyard.
Anurid Scavenger	{2}{G}	3	G	Creature — Frog Beast	3	3	Protection	TOR	1168.19010784642	22567	Protection from black / At the beginning of your upkeep, sacrifice this creature unless you put a card from your graveyard on the bottom of your library.
Anurid Swarmsnapper	{2}{G}	3	G	Creature — Frog Beast	1	4	Reach	JUD	1102.79080672312	21444	Reach (This creature can block creatures with flying.) / {1}{G}: This creature can block an additional creature this turn.
Branchsnap Lorian	{1}{G}{G}	3	G	Creature — Beast	4	1	Morph, Trample	LGN	1123.98446098989	23071	Trample / Morph {G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Chlorophant	{G}{G}{G}	3	G	Creature — Elemental	1	1	Threshold	ODY	1187.54900234752	26905	At the beginning of your upkeep, you may put a +1/+1 counter on this creature. / Threshold — As long as there are seven or more cards in your graveyard, this creature has "At the beginning of your upkeep, you may put another +1/+1 counter on this creature."
Everglove Courier	{2}{G}	3	G	Creature — Elf	2	1		ONS	1154.98334327447	29040	You may choose not to untap this creature during your untap step. / {2}{G}, {T}: Target Elf creature gets +2/+2 and has trample for as long as this creature remains tapped.
Krosan Avenger	{2}{G}	3	G	Creature — Human Druid	3	1	Threshold, Trample	ODY	1087.76049300779	30505	Trample / Threshold — {1}{G}: Regenerate this creature. Activate only if there are seven or more cards in your graveyard.
Leaf Dancer	{1}{G}{G}	3	G	Creature — Centaur	2	2	Forestwalk, Landwalk	ODY	1194.42801907741	29444	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Leery Fogbeast	{2}{G}	3	G	Creature — Beast	4	2		ONS	1119.90004643131	25751	Whenever this creature becomes blocked, prevent all combat damage that would be dealt this turn.
Nantuko Blightcutter	{2}{G}	3	G	Creature — Insect Druid	2	2	Protection, Threshold	TOR	1205.06343196286	24324	Protection from black / Threshold — This creature gets +1/+1 for each black permanent your opponents control as long as there are seven or more cards in your graveyard.
Nantuko Elder	{2}{G}	3	G	Creature — Insect Druid	1	2		ODY, PLST	1284.46438832722	11075	{T}: Add {C}{G}.
Nantuko Mentor	{2}{G}	3	G	Creature — Insect Druid	1	1		ODY	1176.13306855791	22540	{2}{G}, {T}: Target creature gets +X/+X until end of turn, where X is that creature's power.
Nullmage Advocate	{2}{G}	3	G	Creature — Insect Druid	2	3		JUD, PC2, PCA	1093.95086059238	15867	{T}: Return two target cards from an opponent's graveyard to their hand. Destroy target artifact or enchantment.
Seton, Krosan Protector	{G}{G}{G}	3	G	Legendary Creature — Centaur Druid	2	2		ODY	1195.57106337751	17932	Tap an untapped Druid you control: Add {G}.
Spellbane Centaur	{2}{G}	3	G	Creature — Centaur	3	2		ODY	1189.22630424869	26872	Creatures you control can't be the targets of blue spells or abilities from blue sources.
Twigwalker	{2}{G}	3	G	Creature — Insect	2	2		ODY	1192.9054734366	30028	{1}{G}, Sacrifice this creature: Two target creatures each get +2/+2 until end of turn.
Canopy Crawler	{3}{G}	4	G	Creature — Beast	2	2	Amplify	LGN	1165.91386094117	28128	Amplify 1 (As this creature enters, put a +1/+1 counter on it for each Beast card you reveal in your hand.) / {T}: Target creature gets +1/+1 until end of turn for each +1/+1 counter on this creature.
Centaur Rootcaster	{3}{G}	4	G	Creature — Centaur Druid	2	2		JUD	1144.43575924232	23090	Whenever this creature deals combat damage to a player, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
Elvish Pathcutter	{3}{G}	4	G	Creature — Elf Scout	1	2		ONS	1053.79823967122	27098	{2}{G}: Target Elf creature gains forestwalk until end of turn. (It can't be blocked as long as defending player controls a Forest.)
Krosan Archer	{3}{G}	4	G	Creature — Centaur Archer	2	3	Reach	ODY	1104.71961339363	30461	Reach (This creature can block creatures with flying.) / {G}, Discard a card: This creature gets +0/+2 until end of turn.
Krosan Beast	{3}{G}	4	G	Creature — Squirrel Beast	1	1	Threshold	ODY, SLD	1240.66039050789	19182	Threshold — This creature gets +7/+7 as long as there are seven or more cards in your graveyard.
Krosan Constrictor	{3}{G}	4	G	Creature — Snake	2	2	Landwalk, Swampwalk	TOR	1181.92359431825	29275	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) / {T}: Target black creature gets -2/-0 until end of turn.
Krosan Drover	{3}{G}	4	G	Creature — Elf	2	2		SCG	1188.95670059763	13469	Creature spells you cast with mana value 6 or greater cost {2} less to cast.
Krosan Vorine	{3}{G}	4	G	Creature — Cat Beast	3	2	Provoke	LGN, PLST, VMA	1174.1725109182	24745	Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.) / This creature can't be blocked by more than one creature.
Nantuko Calmer	{2}{G}{G}	4	G	Creature — Insect Druid	2	3	Threshold	TOR	1117.44177388202	27388	{G}, {T}, Sacrifice this creature: Destroy target enchantment. / Threshold — This creature gets +1/+1 as long as there are seven or more cards in your graveyard.
Phantom Centaur	{2}{G}{G}	4	G	Creature — Centaur Spirit	2	0	Protection	JUD, PLST, TD0, WC02, WC03	1226.29003931476	26030	Protection from black / This creature enters with three +1/+1 counters on it. / If damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.
Possessed Centaur	{2}{G}{G}	4	G	Creature — Centaur Horror	3	3	Threshold, Trample	TOR	1184.82314582852	30678	Trample / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1, is black, and has "{2}{B}, {T}: Destroy target green creature."
Root Sliver	{3}{G}	4	G	Creature — Sliver	2	2		LGN, PSAL, SLD	1134.93259905738	6497	This spell can't be countered. / Sliver spells can't be countered.
Serpentine Basilisk	{2}{G}{G}	4	G	Creature — Basilisk	2	3	Morph	ONS	1190.37053132431	25863	Whenever this creature deals combat damage to a creature, destroy that creature at end of combat. / Morph {1}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Snarling Undorak	{2}{G}{G}	4	G	Creature — Beast	3	3	Morph	ONS	1151.28455139759	29873	{2}{G}: Target Beast creature gets +1/+1 until end of turn. / Morph {1}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
