Name,Cost,Type,Color,cube_elo,Pool,Reason
"Slippery Karst","","","","",candidate,"{2}-cycling Urza land; worse than ONS {1} cyclers"
"Smoldering Crater","","","","",candidate,"{2}-cycling Urza land; worse than ONS cyclers"
"Spawning Pool","","","","",candidate,"Regenerating manland; off-philosophy"
"Stalking Stones","","","","",candidate,"Manland; redundant, slower beater"
"Sterling Grove-style / Greater Auramancy","","","","",candidate,"Lock-shroud protection redundant; Karmic Justice covers deterrence"
"Storm the Vault","","","","",candidate,"UR Treasure engine; ramps toward too_strong flip"
"Strip Mine","","","","",candidate,"Too strong (elo 1762) land destruction; oppressive"
Sunforger,"","","","",candidate,"WR tutor-equipment; needs creature density, low priority"
"Suppression-overlap / Aura of Silence kept","","","","",candidate,"Other Disenchant-tax pieces redundant once Seal+Aura+Auramancer present"
"Svyelunite Temple","","","","",candidate,"Sac for UU burst; off-philosophy ramp"
"Sylvan Messenger","","","","",candidate,"Elf payoff but thin elf tribe in this pool"
"Temple of the False God","","","","",candidate,"Colorless ramp battery; non-fixing, awkward early"
"Tendo Ice Bridge","","","","",candidate,"Efficient charge-counter any-color fix; alternate"
"Tower of the Magistrate","","","","",candidate,"Narrow anti-artifact protection land; niche"
"Treetop Village","","","","",candidate,"Efficient manland beater; off-philosophy"
"Treva's Charm","","","","",candidate,"Three-color (WUG); off the two-color guild map"
"Treva's Ruins","","","","",candidate,"Lair GWU trifixer; clunky bounce; alternate"
Trinisphere,{3},Artifact,"",1345,candidate,"too_strong: 3-mana floor hard-locks this low-curve cube"
"Verdant Succession","","","","",candidate,"Recursion engine; whiffs in singleton fetching same-named copy"
Vesuva,"","","","",candidate,"Thespian's Stage chosen as the land-copy rep (singleton)"
"Vine Trellis","","","","",candidate,"Defender mana wall; redundant with aura ramp"
Viseling,{4},"Artifact Creature — Phyrexian Construct","",1134,candidate,"Iron Maiden on a body; out-of-block + redundant punisher"
Wasteland,"","","","",candidate,"Too strong (elo 1556) nonbasic LD; oppressive"
"Wheel of Torture",{3},Artifact,"",1087,candidate,"Redundant hand-punisher; package already full with six pieces"
"Wreak Havoc","","","","",candidate,"RG land/artifact removal; filler, no build-around"
"Accursed Centaur",{B},"Creature — Zombie Centaur",B,1058,candidate,"2/2 for B; ETB sac feeds death-triggers (turn drawback to fuel)"
"Aphetto Exterminator",{2}{B},"Creature — Human Wizard",B,1217,candidate,"Unmorph = surprise -3/-3; morph adds decision depth"
"Aphetto Vulture",{4}{B}{B},"Creature — Zombie Bird",B,1134,candidate,"Death-trigger Zombie recur; sac it to rebuy itself/another Zombie"
"Asylum Visitor",{1}{B},"Creature — Vampire Wizard",B,1272,candidate,"Out-exc: madness + empty-hand draw payoff; no block equiv"
"Balthor the Defiled",{2}{B}{B},"Legendary Creature — Zombie Dwarf",B,1261,candidate,"Reanimation commitment spent (exiles self); symmetric; not a value camp"
"Bitter Ordeal",{2}{B},Sorcery,B,1230,candidate,"Gravestorm kill needs a dedicated sac engine; marginal in this shell"
"Blood Celebrant",{B},"Creature — Human Cleric",B,1225,candidate,"Cleric fodder + any-color fixing; enables splashes/alt-win combos"
Bloodcurdler,{1}{B},"Creature — Horror",B,1166,candidate,"Self-mill turns on threshold for whole deck; flying clock"
Boneknitter,{1}{B},"Creature — Zombie Cleric",B,1137,candidate,"Protects Zombie tokens; both a Cleric AND Zombie for tribal"
"Bottomless Pit",{1}{B}{B},Enchantment,B,1183,candidate,"Symmetric random discard; overlaps Necrogen Mists, marginal"
"Brink of Madness",{2}{B}{B},Enchantment,B,1172,candidate,"Empty hand -> opp discards hand; sac-fires, one-shot-ish"
"Cabal Archon",{2}{B},"Creature — Human Cleric",B,1104,candidate,"Wanted sac-drain Cleric outlet but not in curated pool (ONS-block)"
"Cabal Interrogator",{1}{B},"Creature — Zombie Wizard",B,1241,candidate,"Turn-by-turn Mind Rot on a stick; pressures hands slowly"
"Cabal Torturer",{1}{B}{B},"Creature — Human Minion",B,1169,candidate,"Wanted -1/-1 plague pinger but not in curated pool"
"Consumptive Goo",{B}{B},"Creature — Ooze",B,1258,candidate,"Wanted growing -1/-1 plague but not in curated pool"
"Dark Petition",{3}{B}{B},Sorcery,B,1256,candidate,"Tutor that refunds mana; belongs to UB Ad Nauseam combo core"
"Dark Prophecy",{B}{B}{B},Enchantment,B,1207,candidate,"Aristocrats pay-life draw; better home in BG sac worksheet"
"Deathmark Prelate",{3}{B},"Creature — Human Cleric",B,1170,candidate,"Sac-outlet removal; eats Rotlung tokens; slow grindy control"
"Earsplitting Rats",{3}{B},"Creature — Rat",B,1188,candidate,"Repeatable self-discard outlet (madness/threshold/hellbent enabler)"
"Ebonblade Reaper",{2}{B},"Creature — Human Cleric",B,1145,candidate,"Halves opponent life on connect; pays own life; swingy-but-fragile"
"Embalmed Brawler",{2}{B},"Creature — Zombie",B,1194,candidate,"Amplify scaler; honest drawback caps power; Zombie tribal"
"Entrails Feaster",{B},"Creature — Zombie Cat",B,1168,candidate,"Grindy 1-drop; soft GY-hate; punishes reanimator/threshold mirrors"
"Faith of the Devoted",{2}{B},Enchantment,B,1247,candidate,"Cycle/discard drain engine; needs heavy cycling shell"
"False Cure",{B}{B},Instant,B,1140,candidate,"In-block (ONS) instant. Niche but on-theme; rewards reading opponent lifegain."
"Famished Ghoul",{3}{B},"Creature — Zombie",B,1136,candidate,"Body + on-demand GY exile; sac fodder with utility"
Filth,{3}{B},"Creature — Incarnation",B,1252,candidate,"Incarnation; best in GY; rewards milling/discarding it"
Frightcrawler,{1}{B},"Creature — Horror",B,1179,candidate,"Unblockable threshold clock; payoff for self-mill aggro"
"Ghastly Remains",{B}{B}{B},"Creature — Zombie",B,1248,candidate,"User-named Zombie recursion; Amplify scaler; endless sac fodder"
"Gibbering Descent",{4}{B}{B},Enchantment,B,1146,candidate,"Hellbent skips upkeep cost; madness self-cast. Drain engine"
Gravegouger,{2}{B},"Creature — Nightmare Horror",B,1129,candidate,"Soft GY-hate body; sac it to flicker the exile; interactive"
"Grinning Demon",{2}{B}{B},"Creature — Demon",B,1255,candidate,"6/6 for 4 with real life-drawback; morph trick; aggressive top"
"Grotesque Hybrid",{4}{B},"Creature — Zombie",B,1206,candidate,"Free repeatable discard outlet + evasion; fuels madness/hellbent"
"Haunted Cadaver",{3}{B},"Creature — Zombie",B,1189,candidate,"Connect -> sac -> discard 3; doubles as sac fodder; morph"
"Hollow Specter",{1}{B}{B},"Creature — Specter",B,1258,candidate,"Specter discard clock; mana-sink targeted disruption; slow grind"
"Infernal Caretaker",{3}{B},"Creature — Human Cleric",B,1107,candidate,"Bulk Zombie reanimation-to-hand; morph hides it; grindy"
Lich,{B}{B}{B}{B},Enchantment,B,1128,candidate,"4xB, extremely fragile life-as-resource build-around; too narrow"
"Liliana's Caress",{1}{B},Enchantment,B,1180,candidate,"Discard life-loss punisher; redundant with hand-punisher package"
Megrim,{2}{B},Enchantment,B,1258,candidate,"Discard-damage punisher; redundant with Liliana's Caress, marginal"
"Necrogen Mists",{2}{B},Enchantment,B,1227,candidate,"Symmetric per-upkeep discard; better in dedicated discard worksheet"
Necropotence,{B}{B}{B},Enchantment,B,1348,candidate,"too_strong: board-camping card-advantage engine (flag #16)"
"Night's Whisper",{1}{B},Sorcery,B,1305,candidate,"Efficient life-cost draw; cut for slot, redundant with Sign in Blood"
"Phyrexian Arena",{1}{B}{B},Enchantment,B,1353,candidate,"too_strong: passive board-camping value engine; honest life-resource staple but too strong"
"Postmortem Lunge",{X}{B/P},Sorcery,B,1260,candidate,"Non-creature; Phyrexian-mana pay-life. Named-category (Phyrexian-mana) enabler."
"Price of Knowledge",{6}{B},Enchantment,B,1180,candidate,"7-mana haymaker; Iron Maiden with no -4. Slow finisher for the wheel pile."
"Profane Transfusion",{6}{B}{B}{B},Sorcery,B,1121,candidate,"Spell-stapled life swap; expensive, fair. Black version of the Mirror finisher."
"Profane Tutor","",Sorcery,B,1395,candidate,"Slow suspend tutor; Infernal/Tainted/Consultation already cover tutoring"
"Promise of Power",{2}{B}{B}{B},Sorcery,B,1153,candidate,"Modal spell; the draw-5-lose-5 mode is the life-resource line."
"Psychotic Haze",{2}{B}{B},Instant,B,1128,candidate,"Block madness payoff; pings board+players"
"Putrid Imp",{B},"Creature — Zombie Imp",B,1276,candidate,"Wanted repeatable discard outlet but not in curated pool"
"Repay in Kind",{5}{B}{B},Sorcery,B,1148,candidate,"One-shot. Pairs with your own low life as the floor; then drain them out."
"Rotlung Reanimator",{2}{B},"Creature — Zombie Cleric",B,1235,candidate,"Wanted aristocrats token engine but not in curated odysseyblock_creatures.tsv pool (ONS-block)"
"Sanguine Bond",{3}{B}{B},Enchantment,B,1196,candidate,"Lifegain-to-drain payoff; belongs in WB Cleric lifegain shell"
"Shadow of Mortality",{13}{B}{B},"Creature — Avatar",B,1177,candidate,"'Shadow of the Industry' NOT in DB; this is the closest low-life payoff. Out-of-block."
"Shambling Swarm",{1}{B}{B}{B},"Creature — Horror",B,1192,candidate,"User-named plague; death-trigger -1/-1 spread; combos sac outlets"
"Sign in Blood",{B}{B},Sorcery,B,1420,candidate,"Solid life-cost draw but slot pressure; Greed/Dark Tutelage cover draw"
"Silent Specter",{4}{B}{B},"Creature — Specter",B,1251,candidate,"Hippie-on-steroids discard flyer; morph adds trickery; fair top-end"
Smallpox,{B}{B},Sorcery,B,1237,candidate,"Symmetric resource denial; stax piece, better in BG/BR control"
"Smokespew Invoker",{2}{B},"Creature — Zombie Mutant",B,1172,candidate,"Expensive repeatable removal; Zombie for tribal; slow value"
"Street Wraith",{3}{B}{B},"Creature — Wraith",B,1291,candidate,"Out-of-block creature but only ever cycled (free storm cantrip, 2 life); never hard-cast"
"Stunning Reversal",{3}{B},Instant,B,1198,candidate,"One-shot instant; sets you to 1 = explicit Mirror Universe / Death's Shadow enabler."
"Tainted Remedy",{2}{B},Enchantment,B,1227,candidate,"Non-creature. Punishes opponent lifegain; combos with giving them your low total."
"Tavern Swindler",{1}{B},"Creature — Human Rogue",B,1070,candidate,"Out-of-block creature; rare double-theme fit (life + coin-flip). Very low power."
"Tendrils of Corruption",{3}{B},Instant,B,1215,candidate,"Swamp-count removal+lifegain; better in WB life or BG midrange"
"Underworld Connections",{1}{B}{B},"Enchantment — Aura",B,1210,candidate,"Pay-life draw aura flagged dead; redundant with Greed/Dark Tutelage"
"Underworld Dreams",{B}{B}{B},Enchantment,B,1218,candidate,"Draw punisher colorshift B; better in a draw-hate slot"
"Unspeakable Symbol",{1}{B}{B},Enchantment,B,1150,candidate,"In-block (SCG). Counters + life-as-resource; self-lowers life synergy."
"Vault Skirge",{1}{B/P},"Artifact Creature — Phyrexian Imp",B,1303,candidate,"Out-of-block creature; Phyrexian-mana pay-life + lifelink. Elo higher; trim if needed."
"Walking Desecration",{2}{B},"Creature — Zombie",B,1118,candidate,"Forced-attack lever; opens blocks for removal/aristocrats; decision tool"
"Waste Not",{1}{B},Enchantment,B,1259,candidate,"Wheel/discard payoff engine; better in dedicated BR wheel shell"
"Whispering Shade",{3}{B},"Creature — Shade",B,1180,candidate,"Mana-sink Shade with evasion; rewards flooding; iconic 90s feel"
"Wound Reflection",{5}{B},Enchantment,B,1203,candidate,"Life-loss doubler; drain amplifier better in WB life worksheet"
"Yawgmoth's Will",{2}{B},Sorcery,B,1384,candidate,"too_strong: one-shot graveyard replay, judge-level power, breaks low-power floor"
"Zombie Brute",{6}{B},"Creature — Zombie",B,1206,candidate,"Big dumb Amplify trample finisher; 7-drop keeps it slow"
"Zombie Cannibal",{B},"Creature — Zombie",B,1130,candidate,"Wanted cheap Zombie GY-hate but not in curated pool"
"Zombie Trailblazer",{B}{B}{B},"Creature — Zombie Scout",B,1167,candidate,"Zombie-tribal swampwalk enabler; turns tokens into evasion; synergy hub"
"Anurid Barkripper",{1}{G}{G},"Creature — Frog Beast",G,1164,candidate,"2/2 to 4/4 threshold; also a Beast for Amplify."
"Birchlore Rangers",{G},"Creature — Elf Druid Ranger",G,1246,candidate,"Elf mana; fixes for splashes + big-X."
"Caller of the Claw",{2}{G},"Creature — Elf",G,1181,candidate,"Anti-sweeper flood; honest one-shot, no camp."
"Canopy Crawler",{3}{G},"Creature — Beast",G,1165,candidate,"Beast counters + repeatable pump; counter theme."
Choke,{2}{G},Enchantment,G,1170,candidate,"Anti-Island prison/sideboard hate; off-theme for build-around sheet"
"Elvish Pioneer",{G},"Creature — Elf Druid",G,1276,candidate,"Elf body + ramp; enables tribal + ramp."
"Elvish Vanguard",{1}{G},"Creature — Elf Warrior",G,1196,candidate,"Counter accrual + Elf flood; snowballs slowly."
"Fierce Empath",{2}{G},"Creature — Elf",G,1276,candidate,"Finds top-end after ramp; consistency glue."
"Forcemage Advocate",{1}{G},"Creature — Centaur Shaman",G,1124,candidate,"Drip counters each turn; symmetric drawback honest."
"Glowering Rogon",{5}{G},"Creature — Beast",G,1131,candidate,"Big Amplify body; honest top-end Beast."
"Heedless One",{3}{G},"Creature — Elf Avatar",G,1103,candidate,"Grows with Elf flood; fragile, dies to removal."
"Ironshell Beetle",{1}{G},"Creature — Insect",G,1144,candidate,"Not in pool; redundant ETB counter vs Quarry Hauler"
"Ivy Elemental",{X}{G},"Creature — Elemental",G,1159,candidate,"Ramp payoff + big counter pile to shuffle around."
"Krosan Beast",{3}{G},"Creature — Squirrel Beast",G,1240,candidate,"Huge threshold body; whiffs pre-threshold."
"Krosan Wayfarer",{G},"Creature — Human Druid",G,1251,candidate,"Prompt-named but absent from odysseyblock pool; exception budget spent"
"Metamorphic Wurm",{3}{G}{G},"Creature — Elephant Wurm",G,1223,candidate,"7/7 with threshold; mid threshold payoff."
"Nantuko Elder",{2}{G},"Creature — Insect Druid",G,1284,candidate,"Two-mana ramp body; powers big-red X spells."
"Nantuko Mentor",{2}{G},"Creature — Insect Druid",G,1176,candidate,"Doubling pump engine; swingier than wanted, cut for space"
"Phantom Centaur",{2}{G}{G},"Creature — Centaur Spirit",G,1226,candidate,"Shield body not in curated pool; exception budget spent"
"Phantom Nantuko",{2}{G},"Creature — Insect Spirit",G,1240,candidate,"Shield body not in curated pool; exception budget spent"
"Phantom Tiger",{2}{G},"Creature — Cat Spirit",G,1138,candidate,"Shield body not in curated pool; Nishoba represents mechanic"
"Springing Tiger",{3}{G},"Creature — Cat",G,1127,candidate,"3/3 to 5/5 with threshold; reliable curve filler."
"Symbiotic Beast",{4}{G}{G},"Creature — Insect Beast",G,1128,candidate,"Five bodies; doubles as Beast card for Amplify."
"Symbiotic Elf",{3}{G},"Creature — Elf",G,1145,candidate,"Three bodies for Opposition; trades up to tokens."
"Timberwatch Elf",{2}{G},"Creature — Elf",G,1222,candidate,"Flood payoff; pushes damage in Elf decks."
"Voice of the Woods",{3}{G}{G},"Creature — Elf",G,1200,candidate,"Slow Elf-flood payoff; rewards wide board."
"Wirewood Channeler",{3}{G},"Creature — Elf Druid",G,1228,candidate,"Burst ramp scaling with flood; X-spell fuel."
"Wirewood Elf",{1}{G},"Creature — Elf Druid",G,1341,candidate,"Llanowar-on-an-Elf; ramp + tribe count."
"Wirewood Herald",{1}{G},"Creature — Elf",G,1164,candidate,"Body + Elf tutor; fuels tribal flood."
"Wirewood Hivemaster",{1}{G},"Creature — Elf",G,1239,candidate,"Bodies flood off Elf drops; Opposition GW."
"Wirewood Savage",{2}{G},"Creature — Elf",G,1276,candidate,"Card flow for Amplify-Beast builds; Elf body."
"Airdrop Condor",{4}{R},"Creature — Bird",R,1150,candidate,"Evasive sac outlet; flings Goblin power to any target. Bird tribal bonus."
"Blistering Firecat",{1}{R}{R}{R},"Creature — Elemental Cat",R,1162,candidate,"Self-sac one-attack Firecat; fragile burst, no lingering value. Morph too."
"Braid of Fire",{1}{R},Enchantment,R,1283,candidate,"User #1 card: age counters add R each upkeep; proliferate grows the pool"
"Crazed Firecat",{5}{R}{R},"Creature — Elemental Cat",R,1208,candidate,"Named in brief but NOT in curated odysseyblock pool (only broader block_creatures); HARD RULE forbids"
"Dwarven Blastminer",{1}{R},"Creature — Dwarf",R,1144,candidate,"Morph dwarf; recurring nonbasic LD answers High Tide/Island prison."
"Embermage Goblin",{3}{R},"Creature — Goblin Wizard",R,1192,candidate,"Singleton blunts tutor; honest slow pinger; wizards-matter glue."
"Goblin Bookie",{R},"Creature — Goblin",R,1170,candidate,"Out-exc + SILVER-BORDER (UGL); reroll engine for coin-flip theme. Likely cut unless un-cards allowed."
"Goblin Dynamo",{5}{R}{R},"Creature — Goblin Mutant",R,1164,candidate,"Expensive X-burn mana sink for big-red; honest one-shot finisher."
"Goblin Lookout",{1}{R},"Creature — Goblin",R,1162,candidate,"Repeatable sac-for-pump; alpha-strike enabler in goblin token decks."
"Goblin Psychopath",{3}{R},"Creature — Goblin Mutant",R,1104,candidate,"Big cheap body gated by coin flips; SCG-legal. Decision-intensive risk."
"Goblin Sharpshooter",{2}{R},"Creature — Goblin",R,1280,candidate,"Strong engine (death-loops w/ Sledder). Prompt-named; watch power, may cut."
"Goblin Sledder",{R},"Creature — Goblin",R,1143,candidate,"Free sac outlet; pumps +1/+1, triggers death payoffs. ONS original."
"Goblin Traprunner",{3}{R},"Creature — Goblin",R,1223,candidate,"Out-exc: only pure coin-flip Goblin token-maker; bridges luck+aristocrat themes."
"Goblin Warchief",{1}{R}{R},"Creature — Goblin Warrior",R,1245,candidate,"SCG-legal tribal enabler; tempo-positive. Borderline aggressive, monitor."
"Hell-Bent Raider",{1}{R}{R},"Creature — Human Barbarian",R,1157,candidate,"Random-discard outlet; on-theme name, pro-white evasion"
"Mirror March",{5}{R},Enchantment,R,1220,candidate,"too_strong: modern wording is a token-copy engine, not a spent payoff (source strong=1)"
"Pardic Arsonist",{2}{R}{R},"Creature — Human Barbarian",R,1189,candidate,"Threshold gives ETB Lightning Bolt; honest graveyard-matters 3/3."
"Pardic Miner",{1}{R},"Creature — Dwarf",R,1234,candidate,"Sacrifice to deny a land drop; cheap disruptive body, sac-synergy."
"Risky Move",{3}{R}{R}{R},Enchantment,R,1162,candidate,"Chaos control-donation coin-flip; multiplayer-warped, too random for 1v1 cube"
"Siege-Gang Commander",{3}{R}{R},"Creature — Goblin",R,1304,candidate,"Iconic goblin top-end; SCG-legal. High elo — strongest red body, monitor."
"Skirk Fire Marshal",{3}{R}{R},"Creature — Goblin",R,1161,candidate,"Fragile mass-burn reset; needs 5 Goblins. Honest stall-breaker."
"Skirk Prospector",{R},"Creature — Goblin",R,1212,candidate,"Sac-a-Goblin for {R}; engine for RG mana sinks. ONS original (missed by TSV reprint filter)."
"Skittish Valesk",{6}{R},"Creature — Beast",R,1107,candidate,"In-block (ONS) recurring upkeep flip = steady Chance Encounter fuel; morph synergy"
Smoke,{R}{R},Enchantment,R,1113,candidate,"Red Winter Orb stax; fits B/G Smokestack-adjacent gold lane better than mono-R"
Sparksmith,{1}{R},"Creature — Goblin",R,1205,candidate,"Scales with Goblins; symmetric self-burn keeps it honest/low-power. ONS original."
"Squee, Goblin Nabob",{2}{R},"Legendary Creature — Goblin",R,1304,candidate,"Out-exc: returns from GY each upkeep = infinite discard fodder"
"Thoughtbound Primoc",{2}{R},"Creature — Bird Beast",R,1125,candidate,"Solid 2/3 flyer (air defense/reach); fun control-it-via-Wizards downside."
"Underworld Breach",{1}{R},Enchantment,R,1546,candidate,"too_strong: board-camping recursion engine, violates spec #16 (source strong=1)"
"Volt Charge",{2}{R},Instant,R,1281,candidate,"Red burn that also proliferates; in-color counter accelerant for Chance Encounter"
"Warbreak Trumpeter",{R},"Creature — Goblin",R,1223,candidate,"{X}{X}{R} unmorph = X Goblins; scalable token mana sink. Low power early."
"Aphetto Alchemist",{1}{U},"Creature — Human Wizard",U,1230,candidate,"Out of pool; untapper Wizard (Onslaught), creature-locked out."
"Aphetto Runecaster",{3}{U},"Creature — Human Wizard",U,1246,candidate,"Out of pool; morph-draw Wizard not in list."
"Arcane Laboratory",{2}{U},Enchantment,U,1174,candidate,"Spell-lock pick lost to Rule of Law; Arcane Lab is blue anyway"
"Ascending Aven",{2}{U}{U},"Creature — Bird Soldier",U,1171,candidate,"Out of pool; morph flyer (Onslaught) not in list."
Attunement,{2}{U},Enchantment,U,1242,candidate,"Premier Replenish bulk-mill enabler; UW enchantress."
"Battle of Wits",{3}{U}{U},Enchantment,U,1098,candidate,"Honest alt-win but needs a 200-card deck; undraftable in singleton cube."
"Blue Sun's Zenith",{X}{U}{U}{U},Instant,U,1266,candidate,"Redundant recurring big-X draw; one-X-draw rule."
Braingeyser,{X}{U}{U},Sorcery,U,1471,candidate,"Redundant big-X draw; one-X-draw rule kept Stroke of Genius."
"Callous Oppressor",{1}{U}{U},"Creature — Octopus",U,1169,candidate,"Out of pool; steal-creature Octopus not in list."
"Cephalid Aristocrat",{4}{U},"Creature — Octopus Noble",U,1167,candidate,"Out of pool; discard-pump Octopus not in list."
"Cephalid Illusionist",{1}{U},"Creature — Octopus Wizard",U,1271,candidate,"Named in brief but not in odysseyblock pool (Judgment); creature-locked out."
"Cephalid Inkshrouder",{2}{U},"Creature — Octopus",U,1124,candidate,"Out of pool; shroud-granting Octopus not allowed."
"Cloud of Faeries",{1}{U},"Creature — Faerie",U,1277,candidate,"Out of pool; free-spell Faerie not allowed."
Cognivore,{6}{U}{U},"Creature — Lhurgoyf",U,1159,candidate,"Out of pool; instant-count Lhurgoyf not in list."
"Collective Restraint",{3}{U},Enchantment,U,1304,candidate,"Redundant domain pillowfort vs Propaganda/Back to Basics."
Compulsion,{1}{U},Enchantment,U,1209,candidate,"Redundant filtering; leans UW Replenish enabler."
"Disruptive Pitmage",{2}{U},"Creature — Human Wizard",U,1185,candidate,"Out of pool; tax-Wizard not allowed."
Dreamwinder,{3}{U},"Creature — Serpent",U,1186,candidate,"Out of pool; sac-Island Serpent not allowed."
"Escape Artist",{1}{U},"Creature — Human Wizard",U,1247,candidate,"Out of pool; unblockable Wizard not allowed."
"Forced Fruition",{4}{U}{U},Enchantment,U,1226,candidate,"Board-camping cast-punisher; lives better in UB Vise shell."
"Gitaxian Probe",{U/P},Sorcery,U,1528,candidate,"Highest-elo pure 0-mana cantrip; cut to hold the low-power line."
"Great Whale",{5}{U}{U},"Creature — Whale",U,1335,candidate,"Out of pool; untap-7-lands top-end body not in list."
"Hapless Researcher",{U},"Creature — Human Wizard",U,1196,candidate,"Out of pool; looter body not in odysseyblock list."
"Harbinger of the Seas",{1}{U}{U},"Creature — Merfolk Wizard",U,1282,candidate,"Out of pool; strong Islands-lock body but creature-locked out."
"Hatching Plans",{1}{U},Enchantment,U,1285,candidate,"Draw-3-when-destroyed; UW Replenish/sac glue."
Imagecrafter,{U},"Creature — Human Wizard",U,1129,candidate,"Out of pool; type-changer Wizard not allowed."
