"Name","FromColor","Reason"
"Smoke","R","Red Winter Orb stax; fits B/G Smokestack-adjacent gold lane better than mono-R"
"Risky Move","R","Chaos control-donation coin-flip; multiplayer-warped, too random for 1v1 cube"
"Goblin Festival","R","Coin-flip pinger but can hand the enchantment to opponent; redundant with Goblin Bomb/Mana Clash"
"Burning Inquiry","R","Symmetric random discard outlet; redundant behind Faithless Looting / madness bodies"
"Cathartic Reunion","R","Discard-2 draw-3 outlet; redundant with Faithless Looting for the storm/madness fill"
"Change of Fortune","R","Discard-then-draw refill; narrower than wheels already included"
"Seething Song","R","Ritual; one ritual slot kept (Pyretic) to keep storm honest/slow, not double-up"
"Fiery Temper","R","Madness burn; pure removal, leaning FIRE — keep the build-arounds over efficient burn"
"Violent Eruption","R","Madness sweeper-burn; efficient removal against the low-power brief"
"Forgotten Cave","R","Cycling land; utility land slot allocated to Barbarian Ring (threshold sink fits sheet)"
"Pardic Collaborator","R","Vanilla 2/2 first strike with off-color B pump; weakest curated red, cut for count"
"Pardic Firecat","R","2/3 haste with niche Flame Burst graveyard rider; redundant 4-drop beater"
"Aquamoeba","U","Prompt-named but blue and not in curated creature pool"
"Krosan Wayfarer","G","Prompt-named but absent from odysseyblock pool; exception budget spent"
"Ironshell Beetle","G","Not in pool; redundant ETB counter vs Quarry Hauler"
"Phantom Tiger","G","Shield body not in curated pool; Nishoba represents mechanic"
"Phantom Centaur","G","Shield body not in curated pool; exception budget spent"
"Phantom Nantuko","G","Shield body not in curated pool; exception budget spent"
"Overrun","G","Swingy alpha-strike finisher; against no-swingy-bombs spec"
"Crush of Wurms","G","Triple 6/6 bomb; too swingy for low-power cube"
"Beast Attack","G","GGG-heavy token instant; Call/Elephant Ambush cover slot"
"Epic Struggle","G","Win at 20 creatures unrealistic in singleton; Helix covers alt-win"
"Verdant Succession","G","Recursion engine; whiffs in singleton fetching same-named copy"
"Bearscape","G","Graveyard token engine; mild board-camping value"
"Holistic Wisdom","G","Recursion value engine; board-camping, off philosophy"
"Choke","G","Anti-Island prison/sideboard hate; off-theme for build-around sheet"
"Far Wanderings","G","Threshold ramp; enough ramp already included"
"Deep Reconnaissance","G","Flashback ramp; redundant with current ramp suite"
"Krosan Tusker","G","Cycling fatty; fine but cut for count"
"Elephant Guide","G","Aura 2-for-1; trimmed for token-spell density"
"Ground Seal","G","Anti-graveyard cantrip; Krosan Reclamation covers GY hate"
"Living Wish","G","Cube has no outside-the-game zone; non-functional"
"Nantuko Mentor","G","Doubling pump engine; swingier than wanted, cut for space"
"Sylvan Messenger","G","Elf payoff but thin elf tribe in this pool"
"Krosan Restorer","G","Untap-land ramp dork; ramp suite already full"
"Vine Trellis","G","Defender mana wall; redundant with aura ramp"
"Mind Funeral","Multi","Second UB mill; kept Glimpse the Unthinkable as cleaner payoff"
"Karlov of the Ghost Council","Multi","Non-pool creature (WB); hard-rule violation"
"Vizkopa Guildmage","Multi","Non-pool creature (WB); hard-rule violation"
"Cliffhaven Vampire","Multi","Non-pool creature (WB); hard-rule violation"
"Vizkopa Confessor","Multi","Non-pool creature (WB); hard-rule violation"
"Corpsejack Menace","Multi","Non-pool creature (BG); hard-rule violation"
"Debtors' Knell","Multi","Board-camping reanimator value engine; too_strong"
"Assemble the Legion","Multi","Board-camping snowball token engine; too_strong"
"Pyrrhic Revival","Multi","Symmetric mass-reanimate; too swingy for the slot"
"Death Frenzy","Multi","Third BG sweeper; redundant with Pernicious Deed"
"Powerstone Minefield","Multi","Pure WR deterrent; less build-around than Goblin Trenches"
"Dralnu's Crusade","Multi","Narrow BR Goblin lord; weak without goblin density"
"Storm the Vault","Multi","UR Treasure engine; ramps toward too_strong flip"
"Fervent Charge","Multi","Three-color (WBR); off the two-color guild map"
"Treva's Charm","Multi","Three-color (WUG); off the two-color guild map"
"Glory of Warfare alternatives - Outlaws' Merriment","Multi","WR token engine; board-camping value, too_strong"
"Wreak Havoc","Multi","RG land/artifact removal; filler, no build-around"
"Sunforger","Multi","WR tutor-equipment; needs creature density, low priority"
"Trinisphere","C","too_strong: 3-mana floor hard-locks this low-curve cube"
"The Rack","B","Colorshifts to B with the puzzle-box hand-punisher family"
"Quicksilver Fountain","C","Islands-lock/High-Tide prison engine; belongs to U Islands theme"
"Bottled Cloister","C","Hand-hiding for Bridge; redundant with wheel package and slow"
"Containment Construct","C","Artifact-creature discard-recursion; creature pool reserved, not named"
"Parallax Inhibitor","C","Niche fade-refueler; blank without heavy Parallax build, needs errata"
"Quicksilver Fountain","Colorless","Islands-lock/High-Tide payoff but type Artifact -> belongs to U Islands-lock worksheet"
"Dakmor Salvage","Land","Dredge self-mill land; left to B worksheet to avoid singleton dup"
"Ancient Tomb","Land","Too strong (elo 1583) fast mana; off low-power philosophy"
"Strip Mine","Land","Too strong (elo 1762) land destruction; oppressive"
"Wasteland","Land","Too strong (elo 1556) nonbasic LD; oppressive"
"Mishra's Workshop","Land","Too strong artifact fast-mana; off-philosophy"
"City of Brass","Land","Too-efficient 5c fixing (elo 1426); want low-power fixing"
"Reflecting Pool","Land","Premium any-color fixing; too smooth for grind cube"
"Gemstone Mine","Land","Efficient 3-use any-color fixing; power creep"
"Tendo Ice Bridge","Land","Efficient charge-counter any-color fix; alternate"
"Lotus Vale","Land","Burst 3-mana ramp; off low-power philosophy"
"Crystal Quarry","Land","5c rainbow battery; clunky, redundant with storage"
"Rishadan Port","Land","Land-tax lock; too oppressive/controlling"
"Maze of Ith","Land","Hard fog wall; Glacial Chasm chosen as pillowfort rep"
"Kor Haven","Land","Repeatable fog; redundant pillowfort"
"Tower of the Magistrate","Land","Narrow anti-artifact protection land; niche"
"Desert","Land","Minor pinger land; low impact, off-theme"
"Faerie Conclave","Land","Efficient evasive manland; ends stalls wrong way"
"Treetop Village","Land","Efficient manland beater; off-philosophy"
"Mishra's Factory","Land","Colorless beater manland; too strong"
"Stalking Stones","Land","Manland; redundant, slower beater"
"Forbidding Watchtower","Land","Defensive manland; Nantuko Monastery covers slot"
"Ghitu Encampment","Land","First-strike manland beater; off-philosophy"
"Spawning Pool","Land","Regenerating manland; off-philosophy"
"Vesuva","Land","Thespian's Stage chosen as the land-copy rep (singleton)"
"Slippery Karst","Land","{2}-cycling Urza land; worse than ONS {1} cyclers"
"Smoldering Crater","Land","{2}-cycling Urza land; worse than ONS cyclers"
"Drifting Meadow","Land","{2}-cycling Urza land; worse than ONS cyclers"
"Remote Isle","Land","{2}-cycling Urza land; worse than ONS cyclers"
"Polluted Mire","Land","{2}-cycling Urza land; ONS {1} Barren Moor preferred"
"Saprazzan Skerry","Land","Depletion burst ramp; off low-power philosophy"
"Peat Bog","Land","Depletion burst ramp; off-philosophy"
"Sandstone Needle","Land","Depletion burst ramp; off-philosophy"
"Hickory Woodlot","Land","Depletion burst ramp; off-philosophy"
"Sandstone Bridge","Land","Minor ETB pump tapland; low impact"
"Svyelunite Temple","Land","Sac for UU burst; off-philosophy ramp"
"Dromar's Cavern","Land","Lair bounce-land trifixer; clunky, splash worse than filters"
"Crosis's Catacombs","Land","Lair UBR trifixer; clunky bounce; alternate"
"Rith's Grove","Land","Lair RGW trifixer; clunky bounce; alternate"
"Treva's Ruins","Land","Lair GWU trifixer; clunky bounce; alternate"
"Darigaaz's Caldera","Land","Lair BRG trifixer; clunky bounce; alternate"
"Cloudpost","Land","Locus ramp engine; explosive, off low-power"
"Temple of the False God","Land","Colorless ramp battery; non-fixing, awkward early"
"Hall of Heliod's Generosity","Land","Enchantment recursion land; better in UW-enchantments worksheet"
