Name,Cost,MV,Type,Color,Worksheet,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
Blessed Orator,{3}{W},4,Creature — Human Cleric,W,W,clerics;stall,anthem-wall,odysseyblock,1170,,,,,,,1/4 team +0/+1 toughness; anti-aggro glue
Commander Eesha,{2}{W}{W},4,Legendary Creature — Bird Soldier,W,W,WX-birds;stall,evasive-blocker,odysseyblock,1270,,,,,,,Untouchable 2/4 flier; durable stall clock
Mystic Zealot,{3}{W},4,Creature — Human Nomad Mystic,W,W,threshold;stall,threshold-flier,odysseyblock,1083,,,,,,,2/4 that flies at threshold; durable wall then clock
Valor,{3}{W},4,Creature — Incarnation,W,W,graveyard;go-wide,graveyard-anthem,odysseyblock,1172,,,,,,,GY grants team first strike with a Plains
Phantom Flock,{3}{W}{W},5,Creature — Bird Soldier Spirit,W,W,W-shields;WX-birds;counters,shield-flier,odysseyblock,1099,,,,,,,Flying 3/3 damage-shield; Bird for tribal
Wayward Angel,{4}{W}{W},6,Creature — Angel Horror,W,W,threshold,threshold-finisher,odysseyblock,1132,,,,,,,Flying vig 4/4; threshold 7/7 with sac upkeep
Ancestor's Chosen,{5}{W}{W},7,Creature — Human Cleric,W,W,clerics;lifegain,lifegain-payoff,odysseyblock,1167,,,,,,,FS body; ETB gain life per GY card
Enlightened Tutor,{W},1,Instant,W,W,enchantress;combo,tutor,any-era,1313,,,,,,,Finds lock piece; chosen over slower Idyllic Tutor
Oblation,{2}{W},3,Instant,W,W,control,removal,any-era,,,,,,,,"Symmetric removal; shuffles nonland, gives 2 cards"
Replenish,{3}{W},3,Sorcery,W,W,enchantress;reanimator,combo-payoff,any-era,1226,,,,,,,"Honest combo: mass-reanimate enchantments, one-shot"
Earnest Fellowship,{1}{W},2,Enchantment,W,W,control,build-around,any-era,1182,,,,,,,Quasi-Humility; symmetric combat/aura hoser
Seal of Cleansing,{1}{W},2,Enchantment,W,W,enchantress;hate,removal,any-era,1189,,,,,,,"Pre-placed Disenchant; Replenish fodder, recurs"
Soulcatchers' Aerie,{1}{W},2,Enchantment,W,W,WX-birds,tribal-payoff,any-era,1150,,,,,,,Birds anthem; grows when your Birds die
Suppression Field,{1}{W},2,Enchantment,W,W,stax;prison,ability-tax,any-era,1124,,,,,,,Taxes activated abilities; hoses Smokestack/sac engines
Aura of Silence,{1}{W}{W},3,Enchantment,W,W,hate;recursion,removal-tax,any-era,1193,,,,,,,Artifact/enchant tax + sac; Replenish loop
Cage of Hands,{2}{W},3,Enchantment — Aura,W,W,control;auras,tax-attack-lockdown,any-era,1254,,,,,,,Reusable creature lockdown; tax-attack tool (#15)
Ghostly Prison,{2}{W},3,Enchantment,W,W,prison,pillowfort,any-era,1294,,,,,,,Attack tax; chosen over blue Propaganda
Karmic Justice,{2}{W},3,Enchantment,W,W,control,lock-protection,any-era,1186,,,,,,,Punishes breaking your noncreature lock
Rule of Law,{2}{W},3,Enchantment,W,W,prison;anti-combo,spell-lock,any-era,1210,,,,,,,One spell per turn; chosen over blue Arcane Lab
Solitary Confinement,{2}{W},3,Enchantment,W,W,prison;control,fog-lock,any-era,1269,,,,,,,Near-hexproof fog-lock; needs card engine to feed
Story Circle,{1}{W}{W},3,Enchantment,W,W,prison;control,damage-lock,any-era,1188,,,,,,,Color damage-prevention lock; mana-sink decisions
Humility,{2}{W}{W},4,Enchantment,W,W,enchantress;control,lock-half,any-era,1215,,,,,,,All creatures 1/1 no abilities; Opalescence partner
Opalescence,{2}{W}{W},4,Enchantment,Multi,Multicolor,WU Azorius,Colorshift>U/W: animates enchantments; half of Opalescence+Humility lock,any-era,1313,,U/W,,,,,Locked colorshift; enchantment animation engine
Test of Endurance,{2}{W}{W},4,Enchantment,W,W,lifegain;alt-win,alt-win,any-era,1095,,,,,,,Honest alt-win: 50+ life on upkeep
Sphere of Safety,{4}{W},5,Enchantment,W,W,enchantress;prison,pillowfort-payoff,any-era,1196,,,,,,,Tax scales with enchantment density; soft combat-lock
Starfield of Nyx,{4}{W},5,Enchantment,W,W,enchantress,recursion-engine,any-era,1258,,,,,,,Replenish-on-a-stick + animation at five enchantments
Serra's Sanctum,,0,Legendary Land,W,Land,WU Azorius,mana-engine,any-era,1390,,,,,,,Add W for each enchantment you control; enchantress mana fuel
Azure Mage,{1}{U},2,Creature — Human Wizard,U,U,UR Izzet,draw mana-sink,any-era,1190,,,,,,,{3}{U}: draw a card; repeatable true sink (non-tap)
Cephalid Scout,{1}{U},2,Creature — Octopus Wizard Scout,U,U,UB control / High Tide,evasive sac-draw,odysseyblock,1118,,,,,,,Flyer that sacs lands for cards.
Cephalid Vandal,{1}{U},2,Creature — Octopus Rogue,U,U,UB deck-out / threshold,self-mill engine,odysseyblock,1124,,,,,,,Shred counters snowball self-mill toward Lab Maniac.
Narcomoeba,{1}{U},2,Creature — Illusion,U,U,self-mill;dimir-control;graveyard,self-mill-payoff,exception,,,,,,Y,,Self-mill payoff: enters from library mill (#9 sanctioned exception)
Thought Eater,{1}{U},2,Creature — Beast,U,U,UR/UB hand-punisher,cheap evasive flyer,odysseyblock,1187,,,,,,,2/2 flyer; reduced hand size aids Bridge/Vise.
Ambassador Laquatus,{1}{U}{U},3,Legendary Creature — Merfolk Wizard,U,U,UB mill-out,repeatable mill,odysseyblock,1244,,,,,,,Mana-sink mill; decks opponent or self.
Cephalid Looter,{2}{U},3,Creature — Octopus Rogue,U,U,UB deck-out / threshold,loot / fill yard,odysseyblock,1280,,,,,,,"Repeatable loot digs combo, fuels threshold."
Laboratory Maniac,{2}{U},3,Creature — Human Wizard,U,U,UB Ad Nauseam / deck-out,deck-out win condition,exception,1304,,,,,Y,,EXCEPTION: draw-from-empty win; never Thassa's Oracle.
Puppeteer,{2}{U},3,Creature — Human Wizard,U,U,UG tempo / High Tide,tap/untap utility,odysseyblock,1177,,,,,,,Wizard taps or untaps; ritual/blocker tricks.
Skywing Aven,{2}{U},3,Creature — Bird Soldier,U,U,UR/UB madness-tempo,evasive tempo flyer,odysseyblock,1105,,,,,,,Discard-to-bounce flyer enables madness/recast.
Wormfang Drake,{2}{U},3,Creature — Nightmare Drake,U,U,UB control tricks,flicker/blink body,odysseyblock,1178,,,,,,,3/4 flyer exiles a creature; ETB re-use jank.
Aven Fisher,{3}{U},4,Creature — Bird Soldier,U,U,UB control,evasive value body,odysseyblock,1158,,,,,,,Flyer replaces itself on death.
Cephalid Broker,{3}{U},4,Creature — Octopus,U,U,UB deck-out / threshold,loot two / fill yard,odysseyblock,1201,,,,,,,"Double-loot body, big graveyard filler."
Cephalid Sage,{3}{U},4,Creature — Octopus,U,U,UB deck-out / threshold,threshold card draw,odysseyblock,1168,,,,,,,Threshold ETB draws three; rewards self-mill.
Aven Windreader,{3}{U}{U},5,Creature — Bird Soldier Wizard,U,U,UB control / mill,evasive fatesealer,odysseyblock,1120,,,,,,,Flyer with top-card reveal info engine.
Balshan Griffin,{3}{U}{U},5,Creature — Griffin,U,U,UR/UB madness-tempo,evasive discard-outlet,odysseyblock,1164,,,,,,,Self-bounce flyer; repeatable discard outlet.
Scalpelexis,{4}{U},5,Creature — Beast,U,U,UB mill-out,evasive mill,odysseyblock,1196,,,,,,,Flying mill-on-damage; cascading exile clock.
Scrivener,{4}{U},5,Creature — Human Wizard,U,U,UR spells / High Tide,instant recursion,odysseyblock,1159,,,,,,,ETB returns an instant; rebuy High Tide/Snap.
"Aboshan, Cephalid Emperor",{4}{U}{U},6,Legendary Creature — Octopus Noble,U,U,GW/UG Opposition-lite tempo,tap-down lord,odysseyblock,1135,,,,,,,"Octopus payoff; taps permanents, mass tap-down."
Amugaba,{5}{U}{U},7,Creature — Illusion,U,U,UB control finisher,resilient top-end flyer,odysseyblock,1127,,,,,,,6/6 flyer self-bounces to dodge removal.
Palinchron,{5}{U}{U},7,Creature — Illusion,U,U,UB Dimir,untap-combo body,any-era,1374,,,,,,,Untaps seven lands on ETB; mana/bounce combo piece
"Narset, Parter of Veils",{1}{U}{U},3,Legendary Planeswalker — Narset,U,U,UB Dimir,dig + draw-deny,any-era,1494,,,,,,,-2 dig noncreature/nonland; static limits opp to one draw/turn
"Jace, Wielder of Mysteries",{1}{U}{U}{U},4,Legendary Planeswalker — Jace,U,U,UB deck-out,backup deck-out win,any-era,1335,,,,,,,Static deck-out win; mills self toward empty library.
High Tide,{U},1,Instant,U,U,High Tide prison,ritual / archetype namesake,any-era,1366,,,,,,,Doubles Island mana; engine of the prison deck.
Whispers of the Muse,{U},1,Instant,U,U,UR Izzet,repeatable draw,any-era,1218,,,,,,,Buyback {5}: draw a card; late mana sink
Brain Freeze,{1}{U},2,Instant,U,U,UR mill-storm / mill-out,mill-storm finisher,any-era,1502,,,,,,,Storm mill; decks opponent off a spell chain.
Reset,{U}{U},2,Instant,U,U,High Tide prison,untap-all ritual,any-era,1186,,,,,,,Untap all lands on opp turn; High Tide burst.
Snap,{1}{U},2,Instant,U,U,High Tide prison / UR tempo,free bounce tempo,any-era,1379,,,,,,,"Free bounce, untaps two lands; storm padder."
Capsize,{1}{U}{U},3,Instant,U,U,High Tide / UR grind,buyback bounce soft-lock,any-era,1360,,,,,,,Buyback bounce; grindy land-lock and storm fuel.
Frantic Search,{2}{U},3,Instant,U,U,High Tide prison,free loot / storm padder,any-era,1445,,,,,,,Net-zero loot under High Tide; storm count.
Mana Short,{2}{U},3,Instant,U,U,High Tide / UR spells,tempo lock finisher,any-era,1191,,,,,,,Taps opp lands + burns mana; clears combo turn.
Steady Progress,{2}{U},3,Instant,U,U,UG proliferate / fading,proliferate cantrip,any-era,1206,,,,,,,Proliferate + draw; counter accelerant.
Stroke of Genius,{X}{2}{U},3,Instant,U,U,High Tide payoff / mill,big-X draw payoff,any-era,1318,,,,,,,The X-draw payoff; draw huge or deck opponent.
Rewind,{2}{U}{U},4,Instant,U,U,High Tide / UB control,free counterspell,any-era,1271,,,,,,,Counter that untaps four lands; mana-neutral.
Turnabout,{2}{U}{U},4,Instant,U,U,High Tide prison,mana burst / tap-down,any-era,1355,,,,,,,"Untap all lands for huge mana, or tap-lock."
Aquitect's Will,{U},1,Kindred Sorcery — Merfolk,U,U,Islands prison,flood-counter Islands-maker,any-era,1092,,,,,,,Cheap repeatable Island vector; cantrips w/ Merfolk.
Careful Study,{U},1,Sorcery,U,U,UB deck-out / madness,one-mana loot,any-era,1309,,,,,,,"Digs to combo, fills yard for threshold/flashback."
Mystic Speculation,{U},1,Sorcery,U,U,High Tide / UR spells,buyback scry / storm padder,any-era,1264,,,,,,,Buyback scry-3; repeatable selection + storm count.
Mana Severance,{1}{U},2,Sorcery,U,U,UB deck-out,deck-out enabler,any-era,1154,,,,,,,Exiles all lands so a big draw decks YOU to win.
Merchant Scroll,{1}{U},2,Sorcery,U,U,High Tide / UR spells,instant tutor,any-era,1306,,,,,,,Fetches High Tide / Brain Freeze; consistency glue.
Day's Undoing,{2}{U},3,Sorcery,U,U,UB control / hand-punisher,honest one-shot wheel,any-era,1385,,,,,,,Timetwister that ends turn; cast-and-spent refuel.
Tezzeret's Gambit,{3}{U/P},4,Sorcery,U,U,UG proliferate / fading,draw-two + proliferate,any-era,1298,,,,,,,Phyrexian draw-two proliferate; counter engine.
Folio of Fancies,{1}{U},2,Artifact — Book,U,U,UB Dimir,draw/mill sink,any-era,1214,,,,,,,{X}{X}{U}: each player draws X; pay-to-mill sink
Mystic Remora,{U},1,Enchantment,U,U,UB control / age-counter,upkeep-counter draw tax,any-era,1525,,,,,,,Cumulative-upkeep card-draw tax; age-counter theme.
Sea's Claim,{U},1,Enchantment — Aura,U,U,Islands prison,Islands-maker / denial,any-era,1140,,,,,,,One-mana Island-maker; own-ramp or denial.
Convincing Mirage,{1}{U},2,Enchantment — Aura,U,U,Islands prison,flexible type-changer,any-era,1112,,,,,,,Choose-a-type denial or Island for High Tide.
Spreading Seas,{1}{U},2,Enchantment — Aura,U,U,Islands prison,Islands-maker cantrip,any-era,1217,,,,,,,Best Islands enabler; replaces itself.
Standstill,{1}{U},2,Enchantment,U,U,UB control,draw engine / soft lock,any-era,1341,,,,,,,ODY-block soft lock; refuels when broken.
Back to Basics,{2}{U},3,Enchantment,U,U,High Tide prison,prison piece,any-era,1234,,,,,,,Nonbasics don't untap; asymmetric vs greedy mana.
Propaganda,{2}{U},3,Enchantment,U,U,High Tide / UB control,pillowfort tax,any-era,1340,,,,,,,Attack tax buys time to assemble lock/combo.
Sphinx's Tutelage,{2}{U},3,Enchantment,U,U,UB mill-out,mill-on-draw payoff,any-era,1317,,,,,,,Your draws mill opp; honest big-draw win.
Opposition,{2}{U}{U},4,Enchantment,Multi,Multicolor,GW Selesnya,Colorshift>G/W: tap-down lock fed by a wide creature board,any-era,1369,,G/W,,,,,Locked colorshift; tap creatures to lock permanents
Cabal Trainee,{B},1,Creature — Human Minion,B,B,BG sac,1-drop sac fodder + free self-sac -2/-0 trick,odysseyblock,1201,,,,,,,Fodder and outlet in one body
Carrion Rats,{B},1,Creature — Rat,B,B,BR storm,cheap 2/1 GY-hate attacker,odysseyblock,1115,,,,,,,"Cheap body, soft graveyard disruption"
Death's Shadow,{B},1,Creature — Avatar,B,B,aggro;combo,life-loss payoff beater (spec #11),exception,1204,,,,,Y,,Out-exc: spec #11 names it; huge when life low (Bridge/rituals)
Boneshard Slasher,{1}{B},2,Creature — Horror,B,B,BR storm,threshold evasive beater (flyer),odysseyblock,1170,,,,,,,3/3 flyer once graveyard online
Crypt Creeper,{1}{B},2,Creature — Zombie,B,B,BG sac,sac-fodder Zombie with GY-exile,odysseyblock,1131,,,,,,,"Fodder body, graveyard-hate on demand"
Mesmeric Fiend,{1}{B},2,Creature — Nightmare Horror,B,B,BR storm,ETB hand-exile disruption body,odysseyblock,1326,,,,,,,Strips a card; flicker/sac synergy
Nantuko Shade,{B}{B},2,Creature — Insect Shade,B,B,WB life,mana-sink threat,odysseyblock,1189,,,,,,,"Flood sink, classic black clock"
Organ Grinder,{2}{B},3,Creature — Zombie,B,B,BR storm,GY-storm drain finisher,odysseyblock,1190,,,,,,,"Exile three, drain three; mill payoff"
Treacherous Werewolf,{2}{B},3,Creature — Werewolf Minion,B,B,BR storm,threshold 4/4 with death drawback,odysseyblock,1143,,,,,,,Cheap beater once graveyard fills
"Braids, Cabal Minion",{2}{B}{B},4,Legendary Creature — Human Minion,B,B,BG sac,symmetric stax sac body,odysseyblock,1257,,,,,,,Edicts everyone; feeds Smokestack lock
Cabal Surgeon,{2}{B}{B},4,Creature — Human Minion,B,B,BG sac,GY-fueled creature recursion to hand,odysseyblock,1083,,,,,,,"Rebuys sac fodder, threshold tension"
Childhood Horror,{3}{B},4,Creature — Horror,B,B,BR storm,threshold evasive beater,odysseyblock,1110,,,,,,,4/4 flyer when graveyard online
Faceless Butcher,{2}{B}{B},4,Creature — Nightmare Horror,B,B,BG sac,ETB creature-exile removal body,odysseyblock,1267,,,,,,,"Removal on a stick, sac-loop trick"
Gloomdrifter,{3}{B},4,Creature — Zombie Minion,B,B,BG sac,threshold -2/-2 sweep flyer,odysseyblock,1164,,,,,,,Board sweep when graveyard online
Gravedigger,{3}{B},4,Creature — Zombie,B,B,BG sac,creature recursion ETB,odysseyblock,1279,,,,,,,Rebuys best creature; grindy value
Mortivore,{2}{B}{B},4,Creature — Lhurgoyf,B,B,BR storm,graveyard-scaling regenerator,odysseyblock,1292,,,,,,,Grows with all graveyards; regenerates
Painbringer,{2}{B}{B},4,Creature — Human Minion,B,B,BG sac,GY-fueled -X/-X removal body,odysseyblock,1167,,,,,,,Sacrifice graveyard for scalable removal
Carrion Wurm,{3}{B}{B},5,Creature — Zombie Wurm,B,B,BR storm,big GY-hate attacker,odysseyblock,1161,,,,,,,6/5 that punishes graveyard reliance
Masked Gorgon,{4}{B},5,Creature — Gorgon,B,B,BG sac,threshold protection beater,odysseyblock,1167,,,,,,,5/5 hoses green/white once threshold
Repentant Vampire,{3}{B}{B},5,Creature — Vampire,B,B,BR storm,threshold flyer + black-removal,odysseyblock,1196,,,,,,,"Grows, flips white removal at threshold"
Treacherous Vampire,{4}{B},5,Creature — Vampire,B,B,BR storm,threshold flyer with death drawback,odysseyblock,1133,,,,,,,6/6 flyer; bleeds you on death
Cabal Patriarch,{3}{B}{B}{B},6,Legendary Creature — Human Wizard,B,B,BG sac,sac-fueled repeatable -2/-2 removal,odysseyblock,1158,,,,,,,Eats fodder or graveyard for removal
Laquatus's Champion,{4}{B}{B},6,Creature — Nightmare Horror,B,B,WB life,honest 6-life drain stapled to body,odysseyblock,1217,,,,,,,Reach finisher; gives life back if removed
Sutured Ghoul,{4}{B}{B}{B},7,Creature — Zombie,B,B,BG sac,graveyard-eating top-end trampler,odysseyblock,1181,,,,,,,Exiles creatures from yard for stats
Culling the Weak,{B},1,Instant,B,B,BG sac,sac ritual,any-era,1353,,,,,,,Sacrifice a creature for four black
Dark Ritual,{B},1,Instant,B,B,BR storm,ritual fuel + storm count,any-era,1459,,,,,,,"+2 mana, +1 storm, combo turn"
Demonic Consultation,{B},1,Instant,B,B,UB Ad Nauseam,dig tutor + self-mill,any-era,1536,,,,,,,Cheap dig; self-exiles toward deck-out
One with Nothing,{B},1,Instant,B,B,BR storm,empty-hand enabler / storm loop,any-era,1055,Y,,,Y,,Add: each opponent loses 1 life for each card you discarded this way.,Blank as printed; errata adds drain
Songs of the Damned,{B},1,Instant,B,B,BR storm,graveyard ritual,any-era,1203,,,,,,,Explosive mana off a full yard
Spoils of the Vault,{B},1,Instant,B,B,UB Ad Nauseam,life-cost dig,any-era,1192,,,,,,,"Finds a piece, paying life"
Cabal Ritual,{1}{B},2,Instant,B,B,BR storm,threshold ritual fuel,any-era,1322,,,,,,,Big mana late; storm enabler
Shadow of the Grave,{1}{B},2,Instant,B,B,BR storm,storm refill engine,any-era,1232,,,,,,,Returns discarded/cycled hand; pairs One With Nothing
Tainted Pact,{1}{B},2,Instant,B,B,UB Ad Nauseam,library-thinning tutor,any-era,1386,,,,,,,"Digs deep, thins for combo"
Ad Nauseam,{3}{B}{B},5,Instant,B,B,adnauseam-modern-draw-out;adnauseam-storm;combo;storm,Centerpiece — draw a chunk (or whole library) at life cost,any-era,1349,,,,,,,"Package centerpiece; honest spell, cast-and-spent (#4/#16)"
Bond of Agony,{X}{B},1,Sorcery,B,B,WB life,life-as-resource burn,any-era,1189,,,,,,,"Pay X life, each opponent loses X"
Raven's Crime,{B},1,Sorcery,B,B,BR storm,recurring discard (retrace),any-era,1193,,,,,,,Repeatable discard fed by lands
Chain of Smog,{1}{B},2,Sorcery,B,B,BR storm,copyable discard 2,any-era,1405,,,,,,,Discard two; copies itself politically
Collective Brutality,{1}{B},2,Sorcery,B,B,BR storm,modal escalate discard,any-era,1368,,,,,,,Flexible discard/removal/drain; fuels graveyard
Infernal Tutor,{1}{B},2,Sorcery,B,B,BR storm,hellbent tutor,any-era,1237,,,,,,,Finds the kill when hand empty
Sickening Dreams,{1}{B},2,Sorcery,B,B,BR storm,discard-X sweeper + drain,any-era,1249,,,,,,,Pitch hand for symmetric burn sweep
Doomsday,{B}{B}{B},3,Sorcery,B,B,UB Ad Nauseam,combo build-around (alt-win deck-stack),any-era,1278,,,,,,,Honest one-shot; stacks a winning pile
Ill-Gotten Gains,{2}{B}{B},4,Sorcery,B,B,BR storm,wheel + graveyard recursion,any-era,1181,,,,,,,"Refills hand from yard, storm enabler"
Tendrils of Agony,{2}{B}{B},4,Sorcery,B,B,BR storm,storm kill,any-era,1263,,,,,,,Drain two per prior spell; finisher
Font of Agonies,{B},1,Enchantment,B,B,WB life,pay-life removal payoff,any-era,1187,,,,,,,Life payments fuel repeatable creature removal
Quest for the Nihil Stone,{B},1,Enchantment,B,B,BR storm,empty-opp-hand payoff,any-era,1195,,,,,,,Discard-fed; five-life hit when empty
Shrieking Affliction,{B},1,Enchantment,B,B,BR storm,empty-opp-hand payoff,any-era,1164,,,,,,,Drains opponents stuck at one card
Seal of Doom,{2}{B},3,Enchantment,B,B,BG Golgari,removal,any-era,1296,,,,,,,Sealed destroy target nonblack creature
Greed,{3}{B},4,Enchantment,B,B,WB life,pay-life draw engine,any-era,1205,,,,,,,Low-power life-as-resource card draw
Nihilistic Glee,{2}{B}{B},4,Enchantment,B,B,BR storm,hellbent draw + drain,any-era,1093,,,,,,,"Empty-hand engine: bleed them, draw cards"
Grim Lavamancer,{R},1,Creature — Human Wizard,R,R,UR-spells / RG mana-sink,"Repeatable graveyard-fueled ping; mana sink, stall-breaker",odysseyblock,1334,,,,,,,"1-drop reach pinger; exiles graveyard, light"
Spark Mage,{R},1,Creature — Dwarf Wizard,R,R,RG beats / dwarves,Aggressive 1-drop that pings on connect,odysseyblock,1154,,,,,,,"Cheap dwarf, chips creatures via combat damage"
Spikeshot Elder,{R},1,Creature — Goblin Shaman,R,R,RG Gruul,pinger mana-sink,any-era,1260,,,,,,,{3}{R}: deal damage equal to power; repeatable true sink
Minotaur Explorer,{1}{R},2,Creature — Minotaur Scout,R,R,BR storm / graveyard,Discard-outlet body; feeds madness/threshold,odysseyblock,1164,,,,,,,3/3 for 2 if you bin a card; outlet
Balthor the Stout,{1}{R}{R},3,Legendary Creature — Dwarf Barbarian,R,R,dwarves / barbarians,Barbarian/Dwarf lord; tribal payoff,odysseyblock,1144,,,,,,,Barbarian anthem + firebreathing pump on tribe
Barbarian Lunatic,{2}{R},3,Creature — Human Barbarian,R,R,RG / sac,Sacrifice outlet + removal,odysseyblock,1094,,,,,,,Sac for 2 damage; outlet plus removal
Dwarven Bloodboiler,{R}{R}{R},3,Creature — Dwarf,R,R,dwarves / RG,Dwarf anthem-tapper; pump to break stalls,odysseyblock,1145,,,,,,,Taps dwarves for +2/+0; pushes damage through
Dwarven Recruiter,{2}{R},3,Creature — Dwarf,R,R,dwarves,Dwarf tutor-stacking ETB,odysseyblock,1114,,,,,,,Stacks all dwarves on top; tribal glue
Pitchstone Wall,{2}{R},3,Creature — Wall,R,R,BR graveyard / control,Defensive discard-outlet; recurs binned card,odysseyblock,1118,,,,,,,2/5 wall; sac to rebuy a discarded card
Anger,{3}{R},4,Creature — Incarnation,R,R,BR graveyard,Graveyard haste-granter; discard target,odysseyblock,1274,,,,,,,Bin it (Mountain out) for team haste
Bomb Squad,{3}{R},4,Creature — Dwarf,R,R,counters / RG,Fuse-counter removal; slow saboteur clock,odysseyblock,1127,,,,,,,Fuse counters blow up creatures; proliferate target
Chainflinger,{3}{R},4,Creature — Beast,R,R,UR-spells / RG sink,Repeatable ping; scales at threshold,odysseyblock,1160,,,,,,,"Tap for 1, 2 at threshold; mana sink"
Dwarven Driller,{3}{R},4,Creature — Dwarf,R,R,dwarves / prison,Repeatable land-hate / tax body,odysseyblock,1152,,,,,,,Taps to blow a land or deal 2; grindy
Fledgling Dragon,{2}{R}{R},4,Creature — Dragon,R,R,BR graveyard / RG,Threshold flyer; reach + stall-breaker,odysseyblock,1222,,,,,,,2/2 flyer; 5/5 firebreather at threshold
"Jeska, Warrior Adept",{2}{R}{R},4,Legendary Creature — Human Barbarian Warrior,R,R,RG / removal,Pinger + first-strike haste beater,odysseyblock,1242,,,,,,,Taps for 1 anywhere; first strike haste
Mine Layer,{3}{R},4,Creature — Dwarf,R,R,prison / counters,Mine-counter land lock; dwarf prison piece,exception,1154,,,,,Y,,Exception: ODY-block but absent from curated pool; mine-counter lock
Anarchist,{4}{R},5,Creature — Human Wizard,R,R,BR Rakdos,spell recur,any-era,1100,,,,,,,ETB return target sorcery from graveyard to hand
Dwarven Strike Force,{4}{R},5,Creature — Dwarf Berserker,R,R,BR storm / graveyard,Discard-outlet beater; first strike on demand,odysseyblock,1154,,,,,,,4/3; bin cards for first strike + haste
Frenetic Ogre,{4}{R},5,Creature — Ogre,R,R,BR graveyard / madness,Discard-outlet finisher; pumps off the bin,odysseyblock,1104,,,,,,,Repeatable random-discard outlet; fuels madness/threshold
Savage Firecat,{3}{R}{R},5,Creature — Elemental Cat,R,R,RG mana-sink / counters,Land-tax counter sink; big trampler that decays,odysseyblock,1190,,,,,,,7/7 trample; sheds a counter per land tapped
"Kamahl, Pit Fighter",{4}{R}{R},6,Legendary Creature — Human Barbarian,R,R,RG mana-sink,Top-end haste beater + repeatable burn sink,odysseyblock,1201,,,,,,,6/1 haste; taps for 3 to anything
Comet Storm,{X}{R}{R},2,Instant,R,R,big-red mana sink;burn,Multikicker big-red X mana sink (honest spent payoff),any-era,1217,,,,,,,Cast-and-spent X-sink for Braid of Fire's surplus; scales but fragile
Pyretic Ritual,{1}{R},2,Instant,R,R,storm,ritual (storm mana),any-era,1300,,,,,,,+1 R; redundant storm accel
Fiery Temper,{1}{R}{R},3,Instant,R,R,madness,madness burn (in-block),any-era,1363,,,,,,,TOR madness Shock+; premier red madness card
