Name,Cost,MV,Type,Color,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
"Brain Freeze",{1}{U},2,Instant,U,"UR mill-storm / mill-out","mill-storm finisher",any-era,1502,"","","","","","","Storm mill; decks opponent off a spell chain."
"Sphinx's Tutelage",{2}{U},3,Enchantment,U,"UB mill-out","mill-on-draw payoff",any-era,1317,"","","","","","","Your draws mill opp; honest big-draw win."
"Steady Progress",{2}{U},3,Instant,U,"UG proliferate / fading","proliferate cantrip",any-era,1206,"","","","","","","Proliferate + draw; counter accelerant."
"Tezzeret's Gambit",{3}{U/P},4,Sorcery,U,"UG proliferate / fading","draw-two + proliferate",any-era,1298,"","","","","","","Phyrexian draw-two proliferate; counter engine."
Standstill,{1}{U},2,Enchantment,U,"UB control","draw engine / soft lock",any-era,1341,"","","","","","","ODY-block soft lock; refuels when broken."
"Day's Undoing",{2}{U},3,Sorcery,U,"UB control / hand-punisher","honest one-shot wheel",any-era,1385,"","","","","","","Timetwister that ends turn; cast-and-spent refuel."
"Mystic Remora",{U},1,Enchantment,U,"UB control / age-counter","upkeep-counter draw tax",any-era,1525,"","","","","","","Cumulative-upkeep card-draw tax; age-counter theme."
"Careful Study",{U},1,Sorcery,U,"UB deck-out / madness","one-mana loot",any-era,1309,"","","","","","","Digs to combo, fills yard for threshold/flashback."
"Merchant Scroll",{1}{U},2,Sorcery,U,"High Tide / UR spells","instant tutor",any-era,1306,"","","","","","","Fetches High Tide / Brain Freeze; consistency glue."
"Mystic Speculation",{U},1,Sorcery,U,"High Tide / UR spells","buyback scry / storm padder",any-era,1264,"","","","","","","Buyback scry-3; repeatable selection + storm count."
"Mana Severance",{1}{U},2,Sorcery,U,"UB deck-out","deck-out enabler",any-era,1154,"","","","","","","Exiles all lands so a big draw decks YOU to win."
Triskaidekaphile,{1}{U},2,"Creature — Human Wizard",U,"UB hand-size alt-win","honest alt-win build-around",any-era,1209,"","","","","","","Win at exactly 13 in hand; built-in draw mana sink."
Propaganda,{2}{U},3,Enchantment,U,"High Tide / UB control","pillowfort tax",any-era,1340,"","","","","","","Attack tax buys time to assemble lock/combo."
"Back to Basics",{2}{U},3,Enchantment,U,"High Tide prison","prison piece",any-era,1234,"","","","","","","Nonbasics don't untap; asymmetric vs greedy mana."
Rewind,{2}{U}{U},4,Instant,U,"High Tide / UB control","free counterspell",any-era,1271,"","","","","","","Counter that untaps four lands; mana-neutral."
"Mana Short",{2}{U},3,Instant,U,"High Tide / UR spells","tempo lock finisher",any-era,1191,"","","","","","","Taps opp lands + burns mana; clears combo turn."
"Jace, Wielder of Mysteries",{1}{U}{U}{U},4,"Legendary Planeswalker — Jace",U,"UB deck-out","backup deck-out win",any-era,1335,"","","","","","","Static deck-out win; mills self toward empty library."
Narcomoeba,{1}{U},2,"Creature — Illusion",U,self-mill;dimir-control;graveyard,self-mill-payoff,exception,"","","","","",Y,"","Self-mill payoff: enters from library mill (#9 sanctioned exception)"
