Name,Cost,MV,Type,Color,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
"Demonic Consultation",{B},1,Instant,B,"UB Ad Nauseam","dig tutor + self-mill",any-era,1536,"","","","","","","Cheap dig; self-exiles toward deck-out"
"Spoils of the Vault",{B},1,Instant,B,"UB Ad Nauseam","life-cost dig",any-era,1192,"","","","","","","Finds a piece, paying life"
Doomsday,{B}{B}{B},3,Sorcery,B,"UB Ad Nauseam","combo build-around (alt-win deck-stack)",any-era,1278,"","","","","","","Honest one-shot; stacks a winning pile"
Greed,{3}{B},4,Enchantment,B,"WB life","pay-life draw engine",any-era,1205,"","","","","","","Low-power life-as-resource card draw"
"Dark Tutelage",{2}{B},3,Enchantment,B,"WB life","pay-life passive draw",any-era,1191,"","","","","","","Reveal top, draw, lose its cost"
"Bond of Agony",{X}{B},1,Sorcery,B,"WB life","life-as-resource burn",any-era,1189,"","","","","","","Pay X life, each opponent loses X"
"Font of Agonies",{B},1,Enchantment,B,"WB life","pay-life removal payoff",any-era,1187,"","","","","","","Life payments fuel repeatable creature removal"
"One with Nothing",{B},1,Instant,B,"BR storm","empty-hand enabler / storm loop",any-era,1055,Y,"","",Y,"","Add: each opponent loses 1 life for each card you discarded this way.","Blank as printed; errata adds drain"
"Shadow of the Grave",{1}{B},2,Instant,B,"BR storm","storm refill engine",any-era,1232,"","","","","","","Returns discarded/cycled hand; pairs One With Nothing"
"Black Vise",{1},1,Artifact,B,"BR prison","flooded-hand punisher clock",any-era,1370,"",B,"","","","","Colorshift B: damage per card over four"
"Iron Maiden",{3},3,Artifact,B,"BR prison","flooded-hand punisher (all opponents)",any-era,1129,"",B,"","","","","Colorshift B: Black Vise hitting everyone"
"The Rack",{1},1,Artifact,B,"BR prison","empty-hand punisher clock",any-era,1169,"",B,"","","","","Colorshift B: punishes empty hand behind Bridge"
"Ebony Owl Netsuke",{2},2,Artifact,B,"BR prison","flooded-hand punisher",any-era,1164,"",B,"","","","","Colorshift B: 4 damage at seven cards"
"Misers' Cage",{3},3,Artifact,B,"BR prison","softer flooded-hand punisher",any-era,1093,"",B,"","","","","Colorshift B: 2 damage at five cards"
"Cursed Rack",{4},4,Artifact,B,"BR prison","hand-size lock piece",any-era,1204,"",B,"","","","","Colorshift B: caps opponent hand at four"
"Ad Nauseam",{3}{B}{B},5,Instant,B,adnauseam-modern-draw-out;adnauseam-storm;combo;storm,"Centerpiece — draw a chunk (or whole library) at life cost",any-era,1349,"","","","","","","Package centerpiece; honest spell, cast-and-spent (#4/#16)"
"Death's Shadow",{B},1,"Creature — Avatar",B,aggro;combo,"life-loss payoff beater (spec #11)",exception,1204,"","","","",Y,"","Out-exc: spec #11 names it; huge when life low (Bridge/rituals)"
